,level_0,index,name,year_published,min_players,max_players,playing_time,age,boardgamecategory,thumbnail
12,12,0,Guerra del Anillo: Segunda Edición,2012,2,4,180,13,,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__thumb/img/X-lBBdG4uO6LT0y1vXxCN4jdR4M=/fit-in/200x150/filters:strip_icc()/pic1215633.jpg
13,13,0,Sçythe,2016,1,5,115,14,,https://cf.geekdo-images.com/7k_nOxpO9OGIjhLq2BUZdA__thumb/img/eQ69OEDdjYjfKg6q5Navee87skU=/fit-in/200x150/filters:strip_icc()/pic3163924.jpg
14,14,0,Die Burgen von Burgund,2011,2,4,90,12,,https://cf.geekdo-images.com/5CFwjd8zTcGYVUnkXh04hw__thumb/img/0AG_6zsfYQjqlUHG0-_8lcjp8rc=/fit-in/200x150/filters:strip_icc()/pic1176894.jpg
15,15,0,7 Csoda Párbaj,2015,2,2,30,10,,https://cf.geekdo-images.com/WzNs1mA_o22ZWTR8fkLP2g__thumb/img/qGf8-LJx4lsNOgpjS6iCs2TyKts=/fit-in/200x150/filters:strip_icc()/pic3376065.jpg
16,16,0,Terra Mystica,2012,2,5,150,12,,https://cf.geekdo-images.com/bre12I1YiXkZr7elvriz4A__thumb/img/GW-ip0dfeAee7KQqJ04SRZxF1lg=/fit-in/200x150/filters:strip_icc()/pic5375624.jpg
17,17,0,Concordia,2013,2,5,100,13,,https://cf.geekdo-images.com/CzwSm8i7tkLz6cBnrILZBg__thumb/img/ESPSltYYSFK-aJw6jOTdQrJGpOc=/fit-in/200x150/filters:strip_icc()/pic3453267.jpg
18,18,0,Brass,2007,2,4,120,14,,https://cf.geekdo-images.com/0BsjJY9MTlx9DRrlkeE69w__thumb/img/9SUEXpaf_ZdaeR0oS7BS55G5lCw=/fit-in/200x150/filters:strip_icc()/pic5482020.jpg
19,19,0,Fesztáv,2019,1,5,70,10,,https://cf.geekdo-images.com/yLZJCVLlIx4c7eJEWUNJ7w__thumb/img/VNToqgS2-pOGU6MuvIkMPKn_y-s=/fit-in/200x150/filters:strip_icc()/pic4458123.jpg
20,20,0,Nemesis,2018,1,5,180,12,,https://cf.geekdo-images.com/tAqLpWxQ0Oo3GaPP3MER1g__thumb/img/sMIg7_b5ekS1xm6cBIoMFpH0MZs=/fit-in/200x150/filters:strip_icc()/pic5073276.jpg
21,21,0,À la gloire d'Odin,2016,1,4,120,12,,https://cf.geekdo-images.com/s9oGMCo1fcfV4Dk3EnqLZw__thumb/img/AKxMMz2DTbBrEynhDROla8fdjJ4=/fit-in/200x150/filters:strip_icc()/pic3146943.png
22,22,0,Arkham Horror: Das Kartenspiel,2016,1,2,120,14,,https://cf.geekdo-images.com/B5F5ulz0UivNgrI9Ky0euA__thumb/img/L8ouPl5jv2Ye9MC4R_Os2zSGigE=/fit-in/200x150/filters:strip_icc()/pic3122349.jpg
23,23,0,Viticultura Editia Revizuita,2015,1,6,90,13,,https://cf.geekdo-images.com/2muMiNgOIYipDr5fnYJqKg__thumb/img/dW1GFdUYrPFomS7CreQq9v83P00=/fit-in/200x150/filters:strip_icc()/pic2649952.jpg
24,24,0,Orlean,2014,2,4,90,12,,https://cf.geekdo-images.com/nagl1li6kYt9elV9jbfVQw__thumb/img/ykeqdM_Naz4IiqOgyB1arzteOiU=/fit-in/200x150/filters:strip_icc()/pic6228507.jpg
25,25,0,Mage Knight Board Game,2011,1,4,240,14,,https://cf.geekdo-images.com/DUO2hz9AlLOH8p9ED-lCWg__thumb/img/0bWDfnjzYebauQZrHmjyHkuUttI=/fit-in/200x150/filters:strip_icc()/pic1083380.jpg
26,26,0,Root,2018,2,4,90,10,,https://cf.geekdo-images.com/JUAUWaVUzeBgzirhZNmHHw__thumb/img/ACovMZzGGIsBRyEQXFnsT8282NM=/fit-in/200x150/filters:strip_icc()/pic4254509.jpg
27,27,0,Divukraj,2018,1,4,80,13,,https://cf.geekdo-images.com/fjE7V5LNq31yVEW_yuqI-Q__thumb/img/Cf_mYxR_VvdjTEPXseSurni2JNI=/fit-in/200x150/filters:strip_icc()/pic3918905.png
28,28,0,Puerto Rico,2002,3,5,150,12,,https://cf.geekdo-images.com/QFiIRd2kimaMqTyWsX0aUg__thumb/img/5fLo89ChZH6Wzukk36bhZ-EpBS0=/fit-in/200x150/filters:strip_icc()/pic158548.jpg
29,29,0,Caverna,2013,1,7,210,12,,https://cf.geekdo-images.com/rz22tqa5PCYvK9oDjIbvxg__thumb/img/3Ae-ieYpDv6w0vuNsGjOmXdcCrU=/fit-in/200x150/filters:strip_icc()/pic1790789.jpg
30,30,0,Food Chain Magnate,2015,2,5,240,14,,https://cf.geekdo-images.com/Wtxml94LAXsIWQCxGPS63Q__thumb/img/LKU2KoMev222qUIKyNqaCF_ZLPY=/fit-in/200x150/filters:strip_icc()/pic2649434.png
31,31,0,Agricola,2007,1,5,150,12,,https://cf.geekdo-images.com/dDDo2Hexl80ucK1IlqTk-g__thumb/img/GHGdnCfeysoP_34gLnofJcNivW8=/fit-in/200x150/filters:strip_icc()/pic831744.jpg
32,32,0,Blood Rage,2015,2,4,90,14,,https://cf.geekdo-images.com/HkZSJfQnZ3EpS214xtuplg__thumb/img/NLhVdU8xazrgS5dA6nVCYmN2DNI=/fit-in/200x150/filters:strip_icc()/pic2439223.jpg
33,33,0,Le Case della Follia: Seconda Edizione,2016,1,5,180,14,,https://cf.geekdo-images.com/LIooA9bTdjnE9qmhjL-UFw__thumb/img/kwaa7aI2sMeyWV5JSRKcKrS5hC8=/fit-in/200x150/filters:strip_icc()/pic3118622.jpg
34,34,0,Pandemic Legacy: 2. Évad,2017,2,4,60,14,,https://cf.geekdo-images.com/Qtkb-UTvHa0-kxt_MK1nKw__thumb/img/MfKsnJUTx9IQV-o12Fahxx5IaDQ=/fit-in/200x150/filters:strip_icc()/pic3763549.jpg
35,35,0,Maracaibo,2019,1,4,120,12,,https://cf.geekdo-images.com/rMNa0k05zMdKgSEp26Q3Tw__thumb/img/lVlnhYyxlZb3WuKZJHLoJcFHEjs=/fit-in/200x150/filters:strip_icc()/pic4917407.jpg
36,36,0,Diuna: Imperium,2020,1,4,120,14,,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__thumb/img/JGgY-nBmkyB8WRp8vcoBLlNMQ5U=/fit-in/200x150/filters:strip_icc()/pic5666597.jpg
37,37,0,Marvel Champions: Das Kartenspiel,2019,1,4,90,14,,https://cf.geekdo-images.com/kRvUgYiaOq07kC67ZK5UoQ__thumb/img/SDNWntiB06KhAINl06CDPkoipDc=/fit-in/200x150/filters:strip_icc()/pic4900321.jpg
38,38,0,The 7th Continent,2017,1,4,1000,14,,https://cf.geekdo-images.com/OYne8uBCHv5oEgRfpOrV0A__thumb/img/_YPdmxegKIoZI_ButuMJzfw9UBo=/fit-in/200x150/filters:strip_icc()/pic2648303.jpg
39,39,0,The Crew,2019,2,5,20,10,,https://cf.geekdo-images.com/98LnQShydr11OBKS46xY-Q__thumb/img/et-fnuozyOdBOVL-5kSS3_7I8fw=/fit-in/200x150/filters:strip_icc()/pic5687013.jpg
40,40,0,Too Many Bones,2017,1,4,120,12,,https://cf.geekdo-images.com/-EB8c-OIEZfHi1p-8qwiUw__thumb/img/h3KEVBy8FVoivJcGXhVCKBKFhZ8=/fit-in/200x150/filters:strip_icc()/pic3684814.jpg
41,41,0,Brzdęk! Legacy: Acquisitions Incorporated,2019,2,4,120,13,,https://cf.geekdo-images.com/hc2NDafu5c24iLJh_IZmyg__thumb/img/8TA1Gn7jERN4yhtXD-xBCGk-QfM=/fit-in/200x150/filters:strip_icc()/pic4885780.png
42,42,0,Cidades submersas,2018,1,4,150,12,,https://cf.geekdo-images.com/PwOwTVHovJAUQgghnGqCOg__thumb/img/1gGYiRBx7W4wyLy826EHGTdjsKA=/fit-in/200x150/filters:strip_icc()/pic4837710.png
43,43,0,Kingdom Death: Monster,2015,1,4,180,17,,https://cf.geekdo-images.com/LenzJBOHboAGU0cUIqAZPQ__thumb/img/Z3yFJIp9rmSmcGoTiqGeTkKCnQU=/fit-in/200x150/filters:strip_icc()/pic2931007.jpg
44,44,0,Tzolk'in: Calendarul Maiaș,2012,2,4,90,13,,https://cf.geekdo-images.com/kXf7mDyDYuHg6oe8yTUIEA__thumb/img/or9mAn4ClljY_wO_zvsLJDqs9tU=/fit-in/200x150/filters:strip_icc()/pic4604439.jpg
45,45,0,Alta Tensão,2004,2,6,120,12,,https://cf.geekdo-images.com/yd6LuatytHRhcFCxCf-EEg__thumb/img/jWTonZ5oYNlPzpELKHIJGWSS0Y8=/fit-in/200x150/filters:strip_icc()/pic4459753.jpg
46,46,0,Anachrony,2017,1,4,120,15,,https://cf.geekdo-images.com/31quLNzteInnevVRAABoow__thumb/img/a0G93aMOKp3_mmnCURYWuZd210U=/fit-in/200x150/filters:strip_icc()/pic3499707.jpg
47,47,0,Mechs vs. Minions,2016,2,4,120,14,,https://cf.geekdo-images.com/n4J5LebMj0DQD016qW7ABw__thumb/img/Nbu-AYVIop-1yvVfs5zjKowtlEQ=/fit-in/200x150/filters:strip_icc()/pic3184103.jpg
48,48,0,Star Wars: Assalto Imperiale,2014,1,5,120,14,,https://cf.geekdo-images.com/pIQ_MXvaoARRp1loCHJuHg__thumb/img/AD5YvNSUaVvITmtQb1-b01VuBbs=/fit-in/200x150/filters:strip_icc()/pic2247647.jpg
49,49,0,Clan di Caledonia,2017,1,4,120,12,,https://cf.geekdo-images.com/SPuwc6RJ6y4PnTH36Pegsg__thumb/img/M_6Yxp0A_NbebWk3Mepinsm96WI=/fit-in/200x150/filters:strip_icc()/pic3511783.png
50,50,0,Barrage,2019,1,4,120,14,,https://cf.geekdo-images.com/jEPmWvvYpqkWrKOzqIHFsg__thumb/img/kMLIpeqA6UcUvQg2AdMwwQoEIfU=/fit-in/200x150/filters:strip_icc()/pic4336469.png
51,51,0,Le Havre,2008,1,5,150,12,,https://cf.geekdo-images.com/mU-YdL_-3Fm4RvNv-y5WJg__thumb/img/mU1YYormB7n6q6y1mUueZp1mSo0=/fit-in/200x150/filters:strip_icc()/pic3330230.jpg
52,52,0,Azul,2017,2,4,45,8,,https://cf.geekdo-images.com/tz19PfklMdAdjxV9WArraA__thumb/img/debo694HgBaIBeNGyxu1ELUbQGA=/fit-in/200x150/filters:strip_icc()/pic3718275.jpg
53,53,0,On Mars,2020,1,4,150,14,,https://cf.geekdo-images.com/Nm0Iw8NoiM9V8IsifimGBw__thumb/img/4GFbhkEWyIublXmikE2Tep6wSIQ=/fit-in/200x150/filters:strip_icc()/pic4357658.jpg
54,54,0,Eclipse,2011,2,6,180,14,,https://cf.geekdo-images.com/cnFppsVNOSTJ-W3APQFuTg__thumb/img/X8XQO2_mRl7HRSzzOEgoKrWulj4=/fit-in/200x150/filters:strip_icc()/pic1974056.jpg
55,55,0,Arnak elveszett romjai,2020,1,4,120,12,,https://cf.geekdo-images.com/6GqH14TJJhza86BX5HCLEQ__thumb/img/J8SVmGOJXZGxNjkT3xYNQU7Haxg=/fit-in/200x150/filters:strip_icc()/pic5674958.jpg
56,56,0,Cywilizacja: Poprzez wieki,2006,2,4,120,12,,https://cf.geekdo-images.com/3piN3YX4WmBRuIvbEG2Ygg__thumb/img/TDXIygWwAHKc2o90uGnnAhIa7_4=/fit-in/200x150/filters:strip_icc()/pic236169.jpg
57,57,0,The Gallerist,2015,1,4,150,13,,https://cf.geekdo-images.com/ie1GSt1XV04sXQXt-3O1UQ__thumb/img/O0H84AvXp139U865gRLGiAo9-gA=/fit-in/200x150/filters:strip_icc()/pic2503200.png
58,58,0,Pax Pamir: Druga edycja,2019,1,5,120,13,,https://cf.geekdo-images.com/oSM_AuKYfGIwOtKbVEsoVg__thumb/img/NyoufH5YBFCh1rKy4uy76bR4ITk=/fit-in/200x150/filters:strip_icc()/pic4503733.png
59,59,0,Android: Netrunner,2012,2,2,45,14,,https://cf.geekdo-images.com/2ewHIIG_TRq8bYlqk0jIMw__thumb/img/IJaOyyQ7Y59tW6nbKbjTMTFt-Ls=/fit-in/200x150/filters:strip_icc()/pic3738560.jpg
60,60,0,Aeon's End,2016,1,4,60,14,,https://cf.geekdo-images.com/d50LceHj6LIafa4S_qIsCg__thumb/img/KMFA-gXm_LbZpyXSAHbIZm-eAcQ=/fit-in/200x150/filters:strip_icc()/pic3189350.jpg
61,61,0,Lisboa,2017,1,4,120,12,,https://cf.geekdo-images.com/OrHS8_a1CqSGiXeTfCk0Wg__thumb/img/ZBTT0qZcD5HMFlhFN7PLMe6zXvg=/fit-in/200x150/filters:strip_icc()/pic3209553.jpg
62,62,0,Robinson Crusoe: Abenteuer auf der verfluchten Insel,2012,1,4,120,14,,https://cf.geekdo-images.com/FbFnaTx3aT5dM18K_bR_Pg__thumb/img/K1ZUx-QNGg-Kkm2D9iUX4bL0-IM=/fit-in/200x150/filters:strip_icc()/pic3165731.jpg
63,63,0,Arler Erde,2014,1,2,120,13,,https://cf.geekdo-images.com/0w8go6cfvlpgJKydHUkDtA__thumb/img/0z1o-kU2xYwmVO8oNszdt1V4K54=/fit-in/200x150/filters:strip_icc()/pic2225968.png
64,64,0,Crokinole,1876,2,4,30,8,,https://cf.geekdo-images.com/7ejbxsn-UtLl3ehamuAEdw__thumb/img/AX0pNTuAzpUfxlvtwirM6zAK4ws=/fit-in/200x150/filters:strip_icc()/pic79413.jpg
65,65,0,Les Charlatans de Belcastel,2018,2,4,45,10,,https://cf.geekdo-images.com/pH5LgRL4mNRon-2NsSDb1Q__thumb/img/E_XspsgbgrVOwOeCuZMO1S8W2rk=/fit-in/200x150/filters:strip_icc()/pic6137509.png
66,66,0,Auf den Spuren von Marco Polo,2015,2,4,100,12,,https://cf.geekdo-images.com/n1G7_aWToLAAB7Mqt8iwyA__thumb/img/qfEgrXBN5L1EeMQ91siw6r_OoL4=/fit-in/200x150/filters:strip_icc()/pic2461346.png
67,67,0,Dobyvatelé Vesmíru,2007,2,4,60,12,,https://cf.geekdo-images.com/-DOqixs8uwKUvvWPKI4f9w__thumb/img/xLs-ldTPwaADbvzkOpF0sgWzwck=/fit-in/200x150/filters:strip_icc()/pic5261714.jpg
68,68,0,A Nyugati Királyság Lovagjai,2019,1,4,120,12,,https://cf.geekdo-images.com/4nhokcLdYoo6ulbZ1rmGgA__thumb/img/1gEbke_bKTA6D2jjpPm1HowGGHM=/fit-in/200x150/filters:strip_icc()/pic4462987.png
69,69,0,Teotihuacan: Città degli Dei,2018,1,4,120,14,,https://cf.geekdo-images.com/wW5xjgBJcFyLaEWZwrYuKA__thumb/img/MppmP7GtDAfKiB5LiAl-ZtPxOPE=/fit-in/200x150/filters:strip_icc()/pic4583626.jpg
70,70,0,Eclipse. Второй рассвет галактики,2020,2,6,200,14,,https://cf.geekdo-images.com/Oh3kHw6lweg6ru71Q16h2Q__thumb/img/e9XZdQe1ZcPpaq4Gy31OoWBB_V0=/fit-in/200x150/filters:strip_icc()/pic5235277.jpg
71,71,0,Břink!: Velká podzemní loupež,2016,2,4,60,12,,https://cf.geekdo-images.com/DPjV1iI0ygo5Bl3XLNRiIg__thumb/img/O2WnqJew5gNjQqPUH3gqmTBc1pQ=/fit-in/200x150/filters:strip_icc()/pic4449526.jpg
72,72,0,7 csoda,2010,2,7,30,10,,https://cf.geekdo-images.com/RvFVTEpnbb4NM7k0IF8V7A__thumb/img/ZlG_SRFChObHenw79fAve56_mnk=/fit-in/200x150/filters:strip_icc()/pic860217.jpg
73,73,0,Five Tribes,2014,2,4,80,13,,https://cf.geekdo-images.com/dmo-WD6HZHVUPrbVHunaTw__thumb/img/I6KVJlQgS1GfWDPSWAFNqce4Cgc=/fit-in/200x150/filters:strip_icc()/pic2055255.jpg
74,74,0,Dominant Species,2010,2,6,240,14,,https://cf.geekdo-images.com/oeygRZntjNUJWvc8SxDfww__thumb/img/PUmSkY6ZKL81b6YuP1U59R3VdRE=/fit-in/200x150/filters:strip_icc()/pic784193.jpg
75,75,0,Lords of Waterdeep,2012,2,5,120,12,,https://cf.geekdo-images.com/-hk8f8iGk_DyWyMrfiPBkg__thumb/img/dBqYOO8uLXAumxUGuYtuiRGQ1Y8=/fit-in/200x150/filters:strip_icc()/pic1116080.jpg
76,76,0,Agrícola (nueva edición),2016,1,4,120,12,,https://cf.geekdo-images.com/Vf_0TrTfz9yll7rVBvYGsg__thumb/img/booIzVH8Wg4YJa7hIvzgIqwV25Y=/fit-in/200x150/filters:strip_icc()/pic3029377.jpg
77,77,0,Keyflower,2012,2,6,120,12,,https://cf.geekdo-images.com/HbfgxDJZQnNEZQKvpmJxQg__thumb/img/5t1MtJEDdhSgtyJlmu3Hu1qR_ZQ=/fit-in/200x150/filters:strip_icc()/pic2278942.jpg
78,78,0,Tainted Grail: A Queda de Avalon,2019,1,4,120,14,,https://cf.geekdo-images.com/aAwBzPzta4joKfFZt05hCw__thumb/img/zvV21ZaydrMSEbbYSNXcmw3WmfY=/fit-in/200x150/filters:strip_icc()/pic4385726.jpg
79,79,0,Architecten van het Westelijk Koninkrijk,2018,1,5,80,12,,https://cf.geekdo-images.com/OAX7HfOz-9N60StgADzd0g__thumb/img/sBMaoJ-Kz74lJ6djcl-NNMTr0Wo=/fit-in/200x150/filters:strip_icc()/pic3781944.png
80,80,0,Caylus,2005,2,5,150,12,,https://cf.geekdo-images.com/yC7nOSc1x5PT-oNnh6TEcQ__thumb/img/ec9AK_e7FTbxy9tA8er2wW4UnqA=/fit-in/200x150/filters:strip_icc()/pic1638795.jpg
81,81,0,El Grande,1995,2,5,120,12,,https://cf.geekdo-images.com/GO282hlXR3RiknU5W4GZjg__thumb/img/3mn0EVxxfT94rit8VHiyEYztGeg=/fit-in/200x150/filters:strip_icc()/pic5373572.png
82,82,0,Gran Hotel Austria,2015,2,4,120,12,,https://cf.geekdo-images.com/d4It-gdWY4GZVYSjbq20gQ__thumb/img/b_KgnMcnGbqF9xc3DdfLvVT-6Wo=/fit-in/200x150/filters:strip_icc()/pic2728138.jpg
83,83,0,Twilight Imperium: Third Edition,2005,3,6,240,14,,https://cf.geekdo-images.com/MHeQQrbauUVsvh2QF6PMog__thumb/img/9dc8SjfrB38KrNsuHd_JZOXnwYk=/fit-in/200x150/filters:strip_icc()/pic4128153.jpg
84,84,0,Battlestar Galactica: Das Brettspiel,2008,3,6,180,14,,https://cf.geekdo-images.com/5Q2w2rFJiFI_uV89KP6ECg__thumb/img/s1BljxEdoxQ1zGYiw05Qa9rg9hI=/fit-in/200x150/filters:strip_icc()/pic354500.jpg
85,85,0,Les Contrées de l'horreur,2013,1,8,240,14,,https://cf.geekdo-images.com/oxdsZKIX5_3ovDo38EIaeg__thumb/img/I1oCwOcGxAOVx2VE2LcXuKWoLvY=/fit-in/200x150/filters:strip_icc()/pic1872452.jpg
86,86,0,Troyes,2010,1,4,90,12,,https://cf.geekdo-images.com/fBIe-aEPtJKC-ceNlspK6A__thumb/img/Npv5mrWBkjnlKjl_8hGLNk9CCwc=/fit-in/200x150/filters:strip_icc()/pic750583.jpg
87,87,0,Mombasa,2015,2,4,150,12,,https://cf.geekdo-images.com/VceWk5QVkgIp6rWDl5qHKQ__thumb/img/_4ZkvkgZey9R2OJOw_TqF426Qew=/fit-in/200x150/filters:strip_icc()/pic2611318.jpg
88,88,0,Dominion: Die Intrige,2009,2,6,30,13,,https://cf.geekdo-images.com/OGOmpi0GgwOwH2y28QgkuA__thumb/img/jnSHqOXWLN3PfdpCtnfjf44oTsA=/fit-in/200x150/filters:strip_icc()/pic460011.jpg
89,89,0,Felkelő Nap,2018,3,5,120,14,,https://cf.geekdo-images.com/iwevA6XmiNLHn1QnGUucqw__thumb/img/UNKv6MWzJUAwhhP7-ng6HoinRa8=/fit-in/200x150/filters:strip_icc()/pic3880340.jpg
90,90,0,A Gyűrűk Ura: Utazások Középföldén,2019,1,5,120,14,,https://cf.geekdo-images.com/1XA2-niwTBa0HEB7hOz3Dw__thumb/img/iMrsSq7nICZjz1DBXkefq-8E9Js=/fit-in/200x150/filters:strip_icc()/pic4530974.jpg
91,91,0,Patchwork,2014,2,2,30,8,,https://cf.geekdo-images.com/wLW7pFn0--20lEizEz5p3A__thumb/img/P49TUiytgjmRAtKsfO7Y3yU_xic=/fit-in/200x150/filters:strip_icc()/pic2270442.jpg
92,92,0,Invasores do Mar do Norte,2015,2,4,80,12,,https://cf.geekdo-images.com/hXdfAhgZ8OeyWLunt36wlw__thumb/img/vh7ttK5C_kKf5YZNYOY4vfsgXHU=/fit-in/200x150/filters:strip_icc()/pic3578101.jpg
93,93,0,Rosyjskie Koleje,2013,2,4,120,12,,https://cf.geekdo-images.com/B0oEVgeqs4_rT8oyb1_Juw__thumb/img/oZkHYUMtcGVwg_gz6OjtuiD3vmU=/fit-in/200x150/filters:strip_icc()/pic1772936.jpg
94,94,0,Eufraat & Tigris,1997,2,4,90,12,,https://cf.geekdo-images.com/soAzNVWglCdVBacNjoCTJw__thumb/img/0UPEyOaSFyqEH1ikrSig_218RQ0=/fit-in/200x150/filters:strip_icc()/pic2338267.jpg
95,95,0,Lorenzo der Prächtige,2016,2,4,120,12,,https://cf.geekdo-images.com/8G6GkImjt0F_L5aYb8fmtQ__thumb/img/MoUo5LUThQh7CyxGX6QnPBM5zAo=/fit-in/200x150/filters:strip_icc()/pic3175535.jpg
96,96,0,A Ilha dos Gatos,2019,1,4,90,8,,https://cf.geekdo-images.com/AuAheDzhkLufiZFE9JaRNA__thumb/img/gENtMHYJDff6XaGGOYw9oSZShCs=/fit-in/200x150/filters:strip_icc()/pic4781085.jpg
97,97,0,Codenames,2015,2,8,15,14,,https://cf.geekdo-images.com/F_KDEu0GjdClml8N7c8Imw__thumb/img/yl8iXxSNwguMeg3KkmfFO9SMVVc=/fit-in/200x150/filters:strip_icc()/pic2582929.jpg
98,98,0,Trajan,2011,2,4,120,12,,https://cf.geekdo-images.com/djdeCr__iNV5rMnGnxNiaQ__thumb/img/jULoayRVuV3c8cRqKOPsf7oMO5w=/fit-in/200x150/filters:strip_icc()/pic4336095.png
99,99,0,Roll for the Galaxy,2014,2,5,45,13,,https://cf.geekdo-images.com/nhoyoLpYPC2b3UiJ5kJ0yg__thumb/img/KVmexHT6N_fquB1CQl9QRNYCvD0=/fit-in/200x150/filters:strip_icc()/pic1473629.jpg
100,100,0,Decrypto,2018,3,8,45,12,,https://cf.geekdo-images.com/hHZWXnUTMYDd_KTAM6Jwlw__thumb/img/O5XHaPOALYquS058qcXWVm5b_k4=/fit-in/200x150/filters:strip_icc()/pic3759421.jpg
101,101,0,Dominion,2008,2,4,30,13,,https://cf.geekdo-images.com/j6iQpZ4XkemZP07HNCODBA__thumb/img/B2u2ghwlmI_qsUtCwuvcbnBcIqU=/fit-in/200x150/filters:strip_icc()/pic394356.jpg
102,102,0,Consulting Detective,1982,1,8,120,13,,https://cf.geekdo-images.com/ptDZ2tJ6dSNiONAx3HH8Tw__thumb/img/TKoDj4fKzLa_m45TCQeDGcBf63o=/fit-in/200x150/filters:strip_icc()/pic3514298.jpg
103,103,0,EPIZOotic,2008,2,4,45,8,,https://cf.geekdo-images.com/S3ybV1LAp-8SnHIXLLjVqA__thumb/img/oqViRj6nVxK3m36NluTxU1PZkrk=/fit-in/200x150/filters:strip_icc()/pic1534148.jpg
104,104,0,Inis,2016,2,4,90,14,,https://cf.geekdo-images.com/6QE8mnPFmauoj2THsyUYPA__thumb/img/m63hnvHi6jqlva52FGaWbEqzjys=/fit-in/200x150/filters:strip_icc()/pic4739757.jpg
105,105,0,Pandemic: Iberia,2016,2,5,45,8,,https://cf.geekdo-images.com/752GFSJLkyDZikThRM6gqQ__thumb/img/ZFIsirWsf8n1HY6fK-zeDYMKE80=/fit-in/200x150/filters:strip_icc()/pic3000850.png
106,106,0,Campioni di midgard,2015,2,4,90,10,,https://cf.geekdo-images.com/VJwOnMF5vwJg2Yaq6ozn3Q__thumb/img/Ms3h8cBxGzfcKB16q1KPOsmnoG8=/fit-in/200x150/filters:strip_icc()/pic2869714.jpg
107,107,0,Břink! Ve vesmíru!: Velká galaktická loupež,2017,2,4,90,12,,https://cf.geekdo-images.com/haDQw7X8Z0VOItfow9eDtg__thumb/img/mn9ypbuCR2pwOSvor46QRXgVImM=/fit-in/200x150/filters:strip_icc()/pic3720843.jpg
108,108,0,YOKOHAMA,2016,2,4,90,14,,https://cf.geekdo-images.com/ocI_xrJ7A-cDTTMUoYBNzw__thumb/img/FV_oHALnYd3AHo0FPCfYMkSedBM=/fit-in/200x150/filters:strip_icc()/pic3600984.jpg
