,rank,id,name_x,description,bggrating,avgrating,numvoter,date,Index,name_y,year_published,min_players,max_players,playing_time,age,boardgamecategory,thumbnail
10,11,162886,Spirit Island,Island Spirits join forces using elemental powers to defend their home from invaders.,8.126,8.36,28819,2021-08-10,10,Spirit Island,2017,1,4,120,13,,https://cf.geekdo-images.com/a13ieMPP2s0KEaKNYmtH5w__thumb/img/SKiHQ4zAj8uVdtwxOYKIveY9jCo=/fit-in/200x150/filters:strip_icc()/pic3615739.png
11,12,12333,Twilight Struggle,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,8.124,8.29,41974,2021-08-10,11,Gleichgewicht des Schreckens,2005,2,2,180,13,,https://cf.geekdo-images.com/pNCiUUphnoeWOYfsWq0kng__thumb/img/p7alNkNy8Avm8UISmhYHCiMz5bE=/fit-in/200x150/filters:strip_icc()/pic3530661.jpg
12,13,115746,War of the Ring: Second Edition,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-Earth.,8.123,8.5,14594,2021-08-10,12,Guerra del Anillo: Segunda Edición,2012,2,4,180,13,,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__thumb/img/X-lBBdG4uO6LT0y1vXxCN4jdR4M=/fit-in/200x150/filters:strip_icc()/pic1215633.jpg
13,14,169786,Scythe,"Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.",8.075,8.23,61161,2021-08-10,13,Sçythe,2016,1,5,115,14,,https://cf.geekdo-images.com/7k_nOxpO9OGIjhLq2BUZdA__thumb/img/eQ69OEDdjYjfKg6q5Navee87skU=/fit-in/200x150/filters:strip_icc()/pic3163924.jpg
14,15,84876,The Castles of Burgundy,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",8.008,8.13,48517,2021-08-10,14,Die Burgen von Burgund,2011,2,4,90,12,,https://cf.geekdo-images.com/5CFwjd8zTcGYVUnkXh04hw__thumb/img/0AG_6zsfYQjqlUHG0-_8lcjp8rc=/fit-in/200x150/filters:strip_icc()/pic1176894.jpg
15,16,173346,7 Wonders Duel,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,7.983,8.11,64742,2021-08-10,15,7 Csoda Párbaj,2015,2,2,30,10,,https://cf.geekdo-images.com/WzNs1mA_o22ZWTR8fkLP2g__thumb/img/qGf8-LJx4lsNOgpjS6iCs2TyKts=/fit-in/200x150/filters:strip_icc()/pic3376065.jpg
16,17,120677,Terra Mystica,Play fantastical factions.  Expand your influence by terraforming and joining cults.,7.981,8.14,40647,2021-08-10,16,Terra Mystica,2012,2,5,150,12,,https://cf.geekdo-images.com/bre12I1YiXkZr7elvriz4A__thumb/img/GW-ip0dfeAee7KQqJ04SRZxF1lg=/fit-in/200x150/filters:strip_icc()/pic5375624.jpg
17,18,124361,Concordia,Lead your Roman dynasty and build the greatest trading empire in the Mediterranean.,7.9639999999999995,8.12,29730,2021-08-10,17,Concordia,2013,2,5,100,13,,https://cf.geekdo-images.com/CzwSm8i7tkLz6cBnrILZBg__thumb/img/ESPSltYYSFK-aJw6jOTdQrJGpOc=/fit-in/200x150/filters:strip_icc()/pic3453267.jpg
18,19,28720,Brass: Lancashire,Test your economic mettle as you build and network in the industrial revolution.,7.961,8.18,20170,2021-08-10,18,Brass,2007,2,4,120,14,,https://cf.geekdo-images.com/0BsjJY9MTlx9DRrlkeE69w__thumb/img/9SUEXpaf_ZdaeR0oS7BS55G5lCw=/fit-in/200x150/filters:strip_icc()/pic5482020.jpg
19,20,266192,Wingspan,Attract a beautiful and diverse collection of birds to your wildlife reserve.,7.9479999999999995,8.11,49469,2021-08-10,19,Fesztáv,2019,1,5,70,10,,https://cf.geekdo-images.com/yLZJCVLlIx4c7eJEWUNJ7w__thumb/img/VNToqgS2-pOGU6MuvIkMPKn_y-s=/fit-in/200x150/filters:strip_icc()/pic4458123.jpg
20,21,167355,Nemesis,Survive an alien-infested spaceship but beware of other players and their agendas.,7.94,8.4,14806,2021-08-10,20,Nemesis,2018,1,5,180,12,,https://cf.geekdo-images.com/tAqLpWxQ0Oo3GaPP3MER1g__thumb/img/sMIg7_b5ekS1xm6cBIoMFpH0MZs=/fit-in/200x150/filters:strip_icc()/pic5073276.jpg
21,22,177736,A Feast for Odin,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",7.936,8.2,18584,2021-08-10,21,À la gloire d'Odin,2016,1,4,120,12,,https://cf.geekdo-images.com/s9oGMCo1fcfV4Dk3EnqLZw__thumb/img/AKxMMz2DTbBrEynhDROla8fdjJ4=/fit-in/200x150/filters:strip_icc()/pic3146943.png
22,23,205637,Arkham Horror: The Card Game,Investigate the horrors of Arkham while courting cosmic doom.,7.926,8.17,30694,2021-08-10,22,Arkham Horror: Das Kartenspiel,2016,1,2,120,14,,https://cf.geekdo-images.com/B5F5ulz0UivNgrI9Ky0euA__thumb/img/L8ouPl5jv2Ye9MC4R_Os2zSGigE=/fit-in/200x150/filters:strip_icc()/pic3122349.jpg
23,24,183394,Viticulture Essential Edition,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.,7.905,8.07,32030,2021-08-10,23,Viticultura Editia Revizuita,2015,1,6,90,13,,https://cf.geekdo-images.com/2muMiNgOIYipDr5fnYJqKg__thumb/img/dW1GFdUYrPFomS7CreQq9v83P00=/fit-in/200x150/filters:strip_icc()/pic2649952.jpg
24,25,164928,Orléans,"Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?",7.8870000000000005,8.08,23373,2021-08-10,24,Orlean,2014,2,4,90,12,,https://cf.geekdo-images.com/nagl1li6kYt9elV9jbfVQw__thumb/img/ykeqdM_Naz4IiqOgyB1arzteOiU=/fit-in/200x150/filters:strip_icc()/pic6228507.jpg
25,26,96848,Mage Knight Board Game,"Build your hero’s spells, abilities, and artifacts as you explore & conquer cities.",7.882999999999999,8.1,28631,2021-08-10,25,Mage Knight Board Game,2011,1,4,240,14,,https://cf.geekdo-images.com/DUO2hz9AlLOH8p9ED-lCWg__thumb/img/0bWDfnjzYebauQZrHmjyHkuUttI=/fit-in/200x150/filters:strip_icc()/pic1083380.jpg
26,27,237182,Root,Decide the fate of the forest as woodland factions fight for contrasting goals.,7.882000000000001,8.11,27864,2021-08-10,26,Root,2018,2,4,90,10,,https://cf.geekdo-images.com/JUAUWaVUzeBgzirhZNmHHw__thumb/img/ACovMZzGGIsBRyEQXFnsT8282NM=/fit-in/200x150/filters:strip_icc()/pic4254509.jpg
27,28,199792,Everdell,Use resources to build a village of critters and constructions in this woodland game.,7.86,8.1,24472,2021-08-10,27,Divukraj,2018,1,4,80,13,,https://cf.geekdo-images.com/fjE7V5LNq31yVEW_yuqI-Q__thumb/img/Cf_mYxR_VvdjTEPXseSurni2JNI=/fit-in/200x150/filters:strip_icc()/pic3918905.png
28,29,3076,Puerto Rico,"Ship goods, construct buildings, and choose roles that benefit you more than others.",7.851,7.98,64288,2021-08-10,28,Puerto Rico,2002,3,5,150,12,,https://cf.geekdo-images.com/QFiIRd2kimaMqTyWsX0aUg__thumb/img/5fLo89ChZH6Wzukk36bhZ-EpBS0=/fit-in/200x150/filters:strip_icc()/pic158548.jpg
29,30,102794,Caverna: The Cave Farmers,"From a simple cave, expand your dwarven home through mining, agriculture, and more.",7.836,8.01,28922,2021-08-10,29,Caverna,2013,1,7,210,12,,https://cf.geekdo-images.com/rz22tqa5PCYvK9oDjIbvxg__thumb/img/3Ae-ieYpDv6w0vuNsGjOmXdcCrU=/fit-in/200x150/filters:strip_icc()/pic1790789.jpg
30,31,175914,Food Chain Magnate,Strategically hire and manage your workforce to outcompete rival fast food chains.,7.835,8.12,14507,2021-08-10,30,Food Chain Magnate,2015,2,5,240,14,,https://cf.geekdo-images.com/Wtxml94LAXsIWQCxGPS63Q__thumb/img/LKU2KoMev222qUIKyNqaCF_ZLPY=/fit-in/200x150/filters:strip_icc()/pic2649434.png
31,32,31260,Agricola,Build your farmstead by sowing fields and raising livestock. But don't forget to eat!,7.821000000000001,7.94,64748,2021-08-10,31,Agricola,2007,1,5,150,12,,https://cf.geekdo-images.com/dDDo2Hexl80ucK1IlqTk-g__thumb/img/GHGdnCfeysoP_34gLnofJcNivW8=/fit-in/200x150/filters:strip_icc()/pic831744.jpg
32,33,170216,Blood Rage,Ragnarök has come! Secure your place in Valhalla in epic Viking battles.,7.82,8.0,35656,2021-08-10,32,Blood Rage,2015,2,4,90,14,,https://cf.geekdo-images.com/HkZSJfQnZ3EpS214xtuplg__thumb/img/NLhVdU8xazrgS5dA6nVCYmN2DNI=/fit-in/200x150/filters:strip_icc()/pic2439223.jpg
33,34,205059,Mansions of Madness: Second Edition,Unravel mysteries in Arkham with your investigative team in this app-guided game.,7.805,8.05,26803,2021-08-10,33,Le Case della Follia: Seconda Edizione,2016,1,5,180,14,,https://cf.geekdo-images.com/LIooA9bTdjnE9qmhjL-UFw__thumb/img/kwaa7aI2sMeyWV5JSRKcKrS5hC8=/fit-in/200x150/filters:strip_icc()/pic3118622.jpg
34,35,221107,Pandemic Legacy: Season 2,The world is a mystery after a devastating pandemic—where will your team go?,7.8,8.13,12886,2021-08-10,34,Pandemic Legacy: 2. Évad,2017,2,4,60,14,,https://cf.geekdo-images.com/Qtkb-UTvHa0-kxt_MK1nKw__thumb/img/MfKsnJUTx9IQV-o12Fahxx5IaDQ=/fit-in/200x150/filters:strip_icc()/pic3763549.jpg
35,36,276025,Maracaibo,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.,7.796,8.25,9146,2021-08-10,35,Maracaibo,2019,1,4,120,12,,https://cf.geekdo-images.com/rMNa0k05zMdKgSEp26Q3Tw__thumb/img/lVlnhYyxlZb3WuKZJHLoJcFHEjs=/fit-in/200x150/filters:strip_icc()/pic4917407.jpg
36,37,316554,Dune: Imperium,"Influence, intrigue, and combat in the universe of Dune.",7.794,8.34,8228,2021-08-10,36,Diuna: Imperium,2020,1,4,120,14,,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__thumb/img/JGgY-nBmkyB8WRp8vcoBLlNMQ5U=/fit-in/200x150/filters:strip_icc()/pic5666597.jpg
37,38,285774,Marvel Champions: The Card Game,Battle Marvel villains with unique teams of iconic heroes in this LCG.,7.78,8.22,11949,2021-08-10,37,Marvel Champions: Das Kartenspiel,2019,1,4,90,14,,https://cf.geekdo-images.com/kRvUgYiaOq07kC67ZK5UoQ__thumb/img/SDNWntiB06KhAINl06CDPkoipDc=/fit-in/200x150/filters:strip_icc()/pic4900321.jpg
38,39,180263,The 7th Continent,Journey through a vibrant but deadly land to uncover the key to lifting your curse.,7.774,8.1,17945,2021-08-10,38,The 7th Continent,2017,1,4,1000,14,,https://cf.geekdo-images.com/OYne8uBCHv5oEgRfpOrV0A__thumb/img/_YPdmxegKIoZI_ButuMJzfw9UBo=/fit-in/200x150/filters:strip_icc()/pic2648303.jpg
39,40,284083,The Crew: The Quest for Planet Nine,Go on a planet-discovering space mission in this cooperative trick-taking game.,7.766,7.99,19905,2021-08-10,39,The Crew,2019,2,5,20,10,,https://cf.geekdo-images.com/98LnQShydr11OBKS46xY-Q__thumb/img/et-fnuozyOdBOVL-5kSS3_7I8fw=/fit-in/200x150/filters:strip_icc()/pic5687013.jpg
40,41,192135,Too Many Bones,Toss gobs of unique dice in an epic adventure en route to a final boss showdown.,7.763999999999999,8.45,6899,2021-08-10,40,Too Many Bones,2017,1,4,120,12,,https://cf.geekdo-images.com/-EB8c-OIEZfHi1p-8qwiUw__thumb/img/h3KEVBy8FVoivJcGXhVCKBKFhZ8=/fit-in/200x150/filters:strip_icc()/pic3684814.jpg
41,42,266507,Clank! Legacy: Acquisitions Incorporated,"""Go forth, be bold, and ACQUIRE!"" in this campaign version of ""Clank!""",7.757999999999999,8.72,4048,2021-08-10,41,Brzdęk! Legacy: Acquisitions Incorporated,2019,2,4,120,13,,https://cf.geekdo-images.com/hc2NDafu5c24iLJh_IZmyg__thumb/img/8TA1Gn7jERN4yhtXD-xBCGk-QfM=/fit-in/200x150/filters:strip_icc()/pic4885780.png
42,43,247763,Underwater Cities,"Develop future cities on the seafloor through politics, production, and science.",7.754,8.11,11316,2021-08-10,42,Cidades submersas,2018,1,4,150,12,,https://cf.geekdo-images.com/PwOwTVHovJAUQgghnGqCOg__thumb/img/1gGYiRBx7W4wyLy826EHGTdjsKA=/fit-in/200x150/filters:strip_icc()/pic4837710.png
43,44,55690,Kingdom Death: Monster,Try to survive in a nightmarish world that lies under eternal darkness.,7.751,8.63,7821,2021-08-10,43,Kingdom Death: Monster,2015,1,4,180,17,,https://cf.geekdo-images.com/LenzJBOHboAGU0cUIqAZPQ__thumb/img/Z3yFJIp9rmSmcGoTiqGeTkKCnQU=/fit-in/200x150/filters:strip_icc()/pic2931007.jpg
44,45,126163,Tzolk'in: The Mayan Calendar,"Lead your people, build monuments and make offerings to earn the favour of the gods.",7.75,7.9,32033,2021-08-10,44,Tzolk'in: Calendarul Maiaș,2012,2,4,90,13,,https://cf.geekdo-images.com/kXf7mDyDYuHg6oe8yTUIEA__thumb/img/or9mAn4ClljY_wO_zvsLJDqs9tU=/fit-in/200x150/filters:strip_icc()/pic4604439.jpg
45,46,2651,Power Grid,"Bid, network, and manage resources in a race to supply the most cities with power.",7.746,7.85,57382,2021-08-10,45,Alta Tensão,2004,2,6,120,12,,https://cf.geekdo-images.com/yd6LuatytHRhcFCxCf-EEg__thumb/img/jWTonZ5oYNlPzpELKHIJGWSS0Y8=/fit-in/200x150/filters:strip_icc()/pic4459753.jpg
46,47,185343,Anachrony,Use Exosuits & time travel to ensure your vision for the future after the cataclysm.,7.744,8.11,12461,2021-08-10,46,Anachrony,2017,1,4,120,15,,https://cf.geekdo-images.com/31quLNzteInnevVRAABoow__thumb/img/a0G93aMOKp3_mmnCURYWuZd210U=/fit-in/200x150/filters:strip_icc()/pic3499707.jpg
47,48,209010,Mechs vs. Minions,Cooperatively program and pilot your mechs to defeat an army of marauding minions.,7.732,8.04,14594,2021-08-10,47,Mechs vs. Minions,2016,2,4,120,14,,https://cf.geekdo-images.com/n4J5LebMj0DQD016qW7ABw__thumb/img/Nbu-AYVIop-1yvVfs5zjKowtlEQ=/fit-in/200x150/filters:strip_icc()/pic3184103.jpg
48,49,164153,Star Wars: Imperial Assault,Play as rebel or imperial forces to fulfil mission objectives.,7.729,8.01,21169,2021-08-10,48,Star Wars: Assalto Imperiale,2014,1,5,120,14,,https://cf.geekdo-images.com/pIQ_MXvaoARRp1loCHJuHg__thumb/img/AD5YvNSUaVvITmtQb1-b01VuBbs=/fit-in/200x150/filters:strip_icc()/pic2247647.jpg
49,50,216132,Clans of Caledonia,"Lead your unique Scottish clan to economic might via production, trade, and export.",7.728,8.0,15847,2021-08-10,49,Clan di Caledonia,2017,1,4,120,12,,https://cf.geekdo-images.com/SPuwc6RJ6y4PnTH36Pegsg__thumb/img/M_6Yxp0A_NbebWk3Mepinsm96WI=/fit-in/200x150/filters:strip_icc()/pic3511783.png
50,51,251247,Barrage,Nations vie for hydroelectric dominance in a dystopia where water is power.,7.725,8.22,7881,2021-08-10,50,Barrage,2019,1,4,120,14,,https://cf.geekdo-images.com/jEPmWvvYpqkWrKOzqIHFsg__thumb/img/kMLIpeqA6UcUvQg2AdMwwQoEIfU=/fit-in/200x150/filters:strip_icc()/pic4336469.png
51,52,35677,Le Havre,"Establish a supply chain by collecting resources, building industries, and shipping.",7.7139999999999995,7.87,27214,2021-08-10,51,Le Havre,2008,1,5,150,12,,https://cf.geekdo-images.com/mU-YdL_-3Fm4RvNv-y5WJg__thumb/img/mU1YYormB7n6q6y1mUueZp1mSo0=/fit-in/200x150/filters:strip_icc()/pic3330230.jpg
52,53,230802,Azul,Artfully embellish the walls of your palace by drafting the most beautiful tiles.,7.697,7.81,57903,2021-08-10,52,Azul,2017,2,4,45,8,,https://cf.geekdo-images.com/tz19PfklMdAdjxV9WArraA__thumb/img/debo694HgBaIBeNGyxu1ELUbQGA=/fit-in/200x150/filters:strip_icc()/pic3718275.jpg
53,54,184267,On Mars,"Be a part of the first Martian colony, striving to be the best contributor.",7.696000000000001,8.29,6871,2021-08-10,53,On Mars,2020,1,4,150,14,,https://cf.geekdo-images.com/Nm0Iw8NoiM9V8IsifimGBw__thumb/img/4GFbhkEWyIublXmikE2Tep6wSIQ=/fit-in/200x150/filters:strip_icc()/pic4357658.jpg
54,55,72125,Eclipse,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",7.695,7.88,26529,2021-08-10,54,Eclipse,2011,2,6,180,14,,https://cf.geekdo-images.com/cnFppsVNOSTJ-W3APQFuTg__thumb/img/X8XQO2_mRl7HRSzzOEgoKrWulj4=/fit-in/200x150/filters:strip_icc()/pic1974056.jpg
55,56,312484,Lost Ruins of Arnak,Explore an island to find resources and discover the lost ruins of Arnak.,7.694,8.13,9864,2021-08-10,55,Arnak elveszett romjai,2020,1,4,120,12,,https://cf.geekdo-images.com/6GqH14TJJhza86BX5HCLEQ__thumb/img/J8SVmGOJXZGxNjkT3xYNQU7Haxg=/fit-in/200x150/filters:strip_icc()/pic5674958.jpg
56,57,25613,Through the Ages: A Story of Civilization,"Lead your civilization through strategic drafting of leaders, technologies, and more.",7.69,7.91,18194,2021-08-10,56,Cywilizacja: Poprzez wieki,2006,2,4,120,12,,https://cf.geekdo-images.com/3piN3YX4WmBRuIvbEG2Ygg__thumb/img/TDXIygWwAHKc2o90uGnnAhIa7_4=/fit-in/200x150/filters:strip_icc()/pic236169.jpg
57,58,125153,The Gallerist,"Amass a fortune, and stake your reputation by operating a lucrative art gallery.",7.685,8.06,10428,2021-08-10,57,The Gallerist,2015,1,4,150,13,,https://cf.geekdo-images.com/ie1GSt1XV04sXQXt-3O1UQ__thumb/img/O0H84AvXp139U865gRLGiAo9-gA=/fit-in/200x150/filters:strip_icc()/pic2503200.png
58,59,256960,Pax Pamir: Second Edition,"Swing the tides of ""The Great Game"" as countries vie for control of Afghanistan.",7.678999999999999,8.4,5473,2021-08-10,58,Pax Pamir: Druga edycja,2019,1,5,120,13,,https://cf.geekdo-images.com/oSM_AuKYfGIwOtKbVEsoVg__thumb/img/NyoufH5YBFCh1rKy4uy76bR4ITk=/fit-in/200x150/filters:strip_icc()/pic4503733.png
59,60,124742,Android: Netrunner,Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.,7.6739999999999995,7.88,27200,2021-08-10,59,Android: Netrunner,2012,2,2,45,14,,https://cf.geekdo-images.com/2ewHIIG_TRq8bYlqk0jIMw__thumb/img/IJaOyyQ7Y59tW6nbKbjTMTFt-Ls=/fit-in/200x150/filters:strip_icc()/pic3738560.jpg
60,61,191189,Aeon's End,"Mages defend humanity’s last city, harnessing alien powers to destroy monstrosities.",7.669,8.03,12438,2021-08-10,60,Aeon's End,2016,1,4,60,14,,https://cf.geekdo-images.com/d50LceHj6LIafa4S_qIsCg__thumb/img/KMFA-gXm_LbZpyXSAHbIZm-eAcQ=/fit-in/200x150/filters:strip_icc()/pic3189350.jpg
61,62,161533,Lisboa,Compete to reconstruct the city of Lisboa after the great earthquake of 1755.,7.667000000000001,8.21,7283,2021-08-10,61,Lisboa,2017,1,4,120,12,,https://cf.geekdo-images.com/OrHS8_a1CqSGiXeTfCk0Wg__thumb/img/ZBTT0qZcD5HMFlhFN7PLMe6zXvg=/fit-in/200x150/filters:strip_icc()/pic3209553.jpg
62,63,121921,Robinson Crusoe: Adventures on the Cursed Island,Work together — with friends or with Friday — to survive on a deserted island.,7.662000000000001,7.83,35699,2021-08-10,62,Robinson Crusoe: Abenteuer auf der verfluchten Insel,2012,1,4,120,14,,https://cf.geekdo-images.com/FbFnaTx3aT5dM18K_bR_Pg__thumb/img/K1ZUx-QNGg-Kkm2D9iUX4bL0-IM=/fit-in/200x150/filters:strip_icc()/pic3165731.jpg
63,64,159675,Fields of Arle,"Construct dikes, drain bogs, harvest flax and tend to newborn animals in East Frisia.",7.657,8.09,8558,2021-08-10,63,Arler Erde,2014,1,2,120,13,,https://cf.geekdo-images.com/0w8go6cfvlpgJKydHUkDtA__thumb/img/0z1o-kU2xYwmVO8oNszdt1V4K54=/fit-in/200x150/filters:strip_icc()/pic2225968.png
64,65,521,Crokinole,Flick discs and make trick shots in this traditional Canadian dexterity game!,7.657,7.93,12796,2021-08-10,64,Crokinole,1876,2,4,30,8,,https://cf.geekdo-images.com/7ejbxsn-UtLl3ehamuAEdw__thumb/img/AX0pNTuAzpUfxlvtwirM6zAK4ws=/fit-in/200x150/filters:strip_icc()/pic79413.jpg
65,66,244521,The Quacks of Quedlinburg,"Pull ingredients from your stock to make your pot bubble, but hopefully not explode!",7.657,7.84,25777,2021-08-10,65,Les Charlatans de Belcastel,2018,2,4,45,10,,https://cf.geekdo-images.com/pH5LgRL4mNRon-2NsSDb1Q__thumb/img/E_XspsgbgrVOwOeCuZMO1S8W2rk=/fit-in/200x150/filters:strip_icc()/pic6137509.png
66,67,171623,The Voyages of Marco Polo,"Using unique abilities, fulfill contracts and reach your goals along the Silk Road.",7.656000000000001,7.86,21043,2021-08-10,66,Auf den Spuren von Marco Polo,2015,2,4,100,12,,https://cf.geekdo-images.com/n1G7_aWToLAAB7Mqt8iwyA__thumb/img/qfEgrXBN5L1EeMQ91siw6r_OoL4=/fit-in/200x150/filters:strip_icc()/pic2461346.png
67,68,28143,Race for the Galaxy,"Worlds await! Colonize, develop and conquer taking advantage of others' choices.",7.655,7.76,47624,2021-08-10,67,Dobyvatelé Vesmíru,2007,2,4,60,12,,https://cf.geekdo-images.com/-DOqixs8uwKUvvWPKI4f9w__thumb/img/xLs-ldTPwaADbvzkOpF0sgWzwck=/fit-in/200x150/filters:strip_icc()/pic5261714.jpg
68,69,266810,Paladins of the West Kingdom,Invaders are coming from everywhere.  Keep the faith and defend your homeland.,7.648,8.06,9740,2021-08-10,68,A Nyugati Királyság Lovagjai,2019,1,4,120,12,,https://cf.geekdo-images.com/4nhokcLdYoo6ulbZ1rmGgA__thumb/img/1gEbke_bKTA6D2jjpPm1HowGGHM=/fit-in/200x150/filters:strip_icc()/pic4462987.png
69,70,229853,Teotihuacan: City of Gods,Use your worker dice to raise the legendary and breathtaking Pyramid of the Sun.,7.648,7.94,14082,2021-08-10,69,Teotihuacan: Città degli Dei,2018,1,4,120,14,,https://cf.geekdo-images.com/wW5xjgBJcFyLaEWZwrYuKA__thumb/img/MppmP7GtDAfKiB5LiAl-ZtPxOPE=/fit-in/200x150/filters:strip_icc()/pic4583626.jpg
70,71,246900,Eclipse: Second Dawn for the Galaxy,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",7.645,8.74,3887,2021-08-10,70,Eclipse. Второй рассвет галактики,2020,2,6,200,14,,https://cf.geekdo-images.com/Oh3kHw6lweg6ru71Q16h2Q__thumb/img/e9XZdQe1ZcPpaq4Gy31OoWBB_V0=/fit-in/200x150/filters:strip_icc()/pic5235277.jpg
71,72,201808,Clank!: A Deck-Building Adventure,Claim your treasures but don't attract the dragon in this deck-building dungeon race.,7.644,7.82,29904,2021-08-10,71,Břink!: Velká podzemní loupež,2016,2,4,60,12,,https://cf.geekdo-images.com/DPjV1iI0ygo5Bl3XLNRiIg__thumb/img/O2WnqJew5gNjQqPUH3gqmTBc1pQ=/fit-in/200x150/filters:strip_icc()/pic4449526.jpg
72,73,68448,7 Wonders,Draft cards to develop your ancient civilization and build its Wonder of the World.,7.641,7.74,87095,2021-08-10,72,7 csoda,2010,2,7,30,10,,https://cf.geekdo-images.com/RvFVTEpnbb4NM7k0IF8V7A__thumb/img/ZlG_SRFChObHenw79fAve56_mnk=/fit-in/200x150/filters:strip_icc()/pic860217.jpg
