id,categories
312484,Abstract Strategy
312484,Medieval
312484,Economic
312484,Negotiation
312484,Political
312484,Card Game
312484,Fantasy
312484,Ancient
312484,Civilization
312484,Fantasy
312484,Ancient
25613,Card Game
25613,Fantasy
25613,Economic
25613,Territory Building
25613,Civilization
25613,Nautical
25613,Economic
25613,Negotiation
25613,Political
25613,Abstract Strategy
25613,Medieval
125153,Economic
125153,Negotiation
125153,Political
125153,Card Game
125153,Fantasy
125153,Economic
125153,Territory Building
125153,Economic
125153,Negotiation
125153,Political
125153,Economic
125153,Territory Building
125153,Abstract Strategy
125153,Medieval
256960,Card Game
256960,Fantasy
256960,Economic
256960,Territory Building
256960,Civilization
256960,Nautical
256960,Exploration
256960,Civilization
256960,Nautical
124742,Economic
124742,Negotiation
124742,Political
124742,Card Game
124742,Fantasy
124742,Ancient
124742,Abstract Strategy
124742,Ancient
124742,Card Game
124742,Fantasy
191189,Economic
191189,Negotiation
191189,Political
191189,Exploration
191189,Economic
191189,Negotiation
191189,Political
191189,Economic
191189,Negotiation
191189,Political
191189,Civilization
191189,Fantasy
191189,Exploration
161533,Economic
161533,Negotiation
161533,Political
161533,Civilization
161533,Nautical
161533,Economic
161533,Negotiation
161533,Political
161533,Economic
161533,Territory Building
161533,Abstract Strategy
161533,Medieval
161533,Abstract Strategy
161533,Medieval
121921,Economic
121921,Negotiation
121921,Political
121921,Card Game
121921,Fantasy
121921,Economic
121921,Negotiation
121921,Political
121921,Exploration
121921,Card Game
121921,Fantasy
121921,Economic
121921,Negotiation
121921,Political
159675,Economic
159675,Negotiation
159675,Political
159675,Economic
159675,Territory Building
159675,Exploration
159675,Civilization
159675,Nautical
159675,Abstract Strategy
159675,Economic
159675,Territory Building
521,Economic
521,Territory Building
521,Card Game
521,Fantasy
521,Economic
521,Negotiation
521,Political
244521,Card Game
244521,Fantasy
244521,Ancient
244521,Ancient
244521,Economic
244521,Territory Building
244521,Card Game
244521,Fantasy
244521,Economic
244521,Negotiation
244521,Political
171623,Economic
171623,Negotiation
171623,Political
171623,Abstract Strategy
171623,Economic
171623,Negotiation
171623,Political
171623,Civilization
171623,Nautical
171623,Card Game
171623,Fantasy
171623,Abstract Strategy
171623,Medieval
28143,Card Game
28143,Fantasy
28143,Civilization
28143,Fantasy
28143,Economic
28143,Negotiation
28143,Political
28143,Ancient
28143,Abstract Strategy
28143,Medieval
266810,Card Game
266810,Fantasy
266810,Civilization
266810,Nautical
266810,Civilization
266810,Nautical
266810,Civilization
266810,Fantasy
266810,Economic
266810,Negotiation
266810,Political
229853,Card Game
229853,Fantasy
229853,Card Game
229853,Fantasy
229853,Exploration
229853,Civilization
229853,Fantasy
229853,Economic
229853,Territory Building
229853,Abstract Strategy
229853,Medieval
246900,Card Game
246900,Fantasy
246900,Ancient
246900,Civilization
246900,Nautical
246900,Exploration
201808,Card Game
201808,Fantasy
201808,Economic
201808,Negotiation
201808,Political
201808,Civilization
201808,Fantasy
201808,Civilization
201808,Fantasy
68448,Civilization
68448,Nautical
68448,Civilization
68448,Fantasy
68448,Ancient
68448,Ancient
68448,Civilization
68448,Fantasy
157354,Economic
157354,Negotiation
157354,Political
157354,Economic
157354,Territory Building
157354,Abstract Strategy
157354,Abstract Strategy
157354,Medieval
157354,Economic
157354,Territory Building
157354,Ancient
62219,Civilization
62219,Nautical
62219,Card Game
62219,Fantasy
62219,Card Game
62219,Fantasy
62219,Economic
62219,Negotiation
62219,Political
62219,Exploration
110327,Economic
110327,Negotiation
110327,Political
110327,Economic
110327,Negotiation
110327,Political
110327,Abstract Strategy
110327,Medieval
110327,Card Game
110327,Fantasy
110327,Abstract Strategy
200680,Card Game
200680,Fantasy
200680,Civilization
200680,Nautical
200680,Civilization
200680,Fantasy
122515,Economic
122515,Negotiation
122515,Political
122515,Card Game
122515,Fantasy
122515,Card Game
122515,Fantasy
122515,Economic
122515,Territory Building
122515,Economic
122515,Negotiation
122515,Political
122515,Economic
122515,Territory Building
264220,Card Game
264220,Fantasy
264220,Civilization
264220,Nautical
264220,Ancient
264220,Card Game
264220,Fantasy
264220,Card Game
264220,Fantasy
236457,Card Game
236457,Fantasy
236457,Abstract Strategy
236457,Medieval
236457,Civilization
236457,Nautical
236457,Ancient
236457,Economic
236457,Territory Building
236457,Abstract Strategy
18602,Economic
18602,Negotiation
18602,Political
18602,Civilization
18602,Fantasy
18602,Civilization
18602,Nautical
18602,Card Game
18602,Fantasy
93,Exploration
93,Abstract Strategy
93,Medieval
182874,Economic
182874,Negotiation
182874,Political
182874,Civilization
182874,Fantasy
182874,Card Game
182874,Fantasy
182874,Civilization
182874,Fantasy
182874,Abstract Strategy
182874,Ancient
12493,Economic
12493,Negotiation
12493,Political
12493,Card Game
12493,Fantasy
12493,Ancient
12493,Exploration
12493,Abstract Strategy
12493,Medieval
37111,Abstract Strategy
37111,Medieval
37111,Abstract Strategy
37111,Economic
37111,Negotiation
37111,Political
37111,Economic
37111,Negotiation
37111,Political
37111,Economic
37111,Negotiation
37111,Political
146021,Economic
146021,Negotiation
146021,Political
146021,Ancient
146021,Civilization
146021,Nautical
146021,Card Game
146021,Fantasy
146021,Economic
146021,Negotiation
146021,Political
73439,Abstract Strategy
73439,Abstract Strategy
73439,Medieval
73439,Ancient
73439,Abstract Strategy
73439,Medieval
73439,Exploration
172386,Economic
172386,Negotiation
172386,Political
172386,Abstract Strategy
172386,Card Game
172386,Fantasy
172386,Abstract Strategy
172386,Medieval
172386,Civilization
172386,Fantasy
172386,Civilization
172386,Nautical
40834,Ancient
40834,Civilization
40834,Fantasy
40834,Abstract Strategy
40834,Medieval
40834,Ancient
205896,Card Game
205896,Fantasy
205896,Economic
205896,Territory Building
205896,Civilization
205896,Fantasy
205896,Exploration
205896,Civilization
205896,Nautical
269385,Card Game
269385,Fantasy
269385,Civilization
269385,Nautical
269385,Exploration
269385,Abstract Strategy
269385,Medieval
269385,Civilization
269385,Fantasy
269385,Economic
269385,Territory Building
163412,Economic
163412,Negotiation
163412,Political
163412,Civilization
163412,Nautical
163412,Abstract Strategy
163412,Medieval
163412,Ancient
163412,Economic
163412,Negotiation
163412,Political
163412,Card Game
163412,Fantasy
170042,Economic
170042,Negotiation
170042,Political
170042,Abstract Strategy
170042,Ancient
170042,Card Game
170042,Fantasy
144733,Economic
144733,Negotiation
144733,Political
144733,Ancient
144733,Ancient
144733,Abstract Strategy
144733,Abstract Strategy
144733,Medieval
144733,Abstract Strategy
144733,Medieval
42,Ancient
42,Card Game
42,Fantasy
203993,Card Game
203993,Fantasy
203993,Abstract Strategy
203993,Medieval
203993,Exploration
203993,Exploration
203993,Abstract Strategy
203993,Medieval
281259,Card Game
281259,Fantasy
281259,Civilization
281259,Fantasy
281259,Economic
281259,Negotiation
281259,Political
281259,Card Game
281259,Fantasy
281259,Economic
281259,Territory Building
281259,Exploration
178900,Economic
178900,Negotiation
178900,Political
178900,Abstract Strategy
178900,Civilization
178900,Fantasy
178900,Exploration
102680,Economic
102680,Negotiation
102680,Political
102680,Card Game
102680,Fantasy
102680,Civilization
102680,Nautical
102680,Civilization
102680,Fantasy
132531,Economic
132531,Negotiation
132531,Political
132531,Abstract Strategy
132531,Medieval
132531,Card Game
132531,Fantasy
132531,Economic
132531,Territory Building
132531,Abstract Strategy
132531,Medieval
132531,Economic
132531,Negotiation
132531,Political
225694,Card Game
225694,Fantasy
225694,Card Game
225694,Fantasy
225694,Economic
225694,Territory Building
225694,Civilization
225694,Nautical
225694,Exploration
225694,Ancient
36218,Abstract Strategy
36218,Medieval
36218,Civilization
36218,Nautical
36218,Card Game
36218,Fantasy
36218,Economic
36218,Negotiation
36218,Political
36218,Civilization
36218,Fantasy
2511,Card Game
2511,Fantasy
2511,Economic
2511,Territory Building
2511,Economic
2511,Negotiation
2511,Political
2511,Economic
2511,Negotiation
2511,Political
30549,Abstract Strategy
30549,Medieval
30549,Economic
30549,Territory Building
30549,Ancient
30549,Exploration
155821,Economic
155821,Negotiation
155821,Political
155821,Economic
155821,Territory Building
155821,Economic
155821,Territory Building
155821,Civilization
155821,Fantasy
155821,Card Game
155821,Fantasy
155821,Economic
155821,Negotiation
155821,Political
198928,Economic
198928,Negotiation
198928,Political
198928,Exploration
198928,Civilization
198928,Fantasy
198928,Exploration
198928,Card Game
198928,Fantasy
198928,Civilization
198928,Fantasy
172287,Economic
172287,Negotiation
172287,Political
172287,Abstract Strategy
172287,Card Game
172287,Fantasy
172287,Card Game
172287,Fantasy
172287,Civilization
172287,Fantasy
172287,Abstract Strategy
233371,Card Game
233371,Fantasy
233371,Abstract Strategy
233371,Medieval
233371,Abstract Strategy
233371,Medieval
233371,Abstract Strategy
233371,Medieval
233371,Abstract Strategy
233371,Economic
233371,Negotiation
233371,Political
196340,Economic
196340,Negotiation
196340,Political
196340,Exploration
196340,Civilization
196340,Nautical
196340,Abstract Strategy
196340,Medieval
196340,Ancient
127023,Economic
127023,Negotiation
127023,Political
127023,Card Game
127023,Fantasy
127023,Abstract Strategy
127023,Card Game
127023,Fantasy
127023,Abstract Strategy
127023,Medieval
175155,Economic
175155,Negotiation
175155,Political
175155,Abstract Strategy
175155,Economic
175155,Territory Building
175155,Economic
175155,Negotiation
175155,Political
175155,Economic
175155,Territory Building
175155,Economic
175155,Territory Building
266524,Card Game
266524,Fantasy
266524,Civilization
266524,Nautical
266524,Civilization
266524,Nautical
266524,Economic
266524,Territory Building
266524,Card Game
266524,Fantasy
266524,Ancient
175640,Economic
175640,Negotiation
175640,Political
175640,Abstract Strategy
175640,Economic
175640,Territory Building
175640,Civilization
175640,Nautical
175640,Ancient
263918,Card Game
263918,Fantasy
263918,Civilization
263918,Nautical
263918,Abstract Strategy
263918,Medieval
263918,Exploration
263918,Economic
263918,Negotiation
263918,Political
263918,Civilization
263918,Fantasy
161970,Economic
161970,Negotiation
161970,Political
161970,Civilization
161970,Nautical
161970,Economic
161970,Negotiation
161970,Political
161970,Exploration
161970,Abstract Strategy
103885,Economic
103885,Negotiation
103885,Political
103885,Abstract Strategy
103885,Medieval
103885,Civilization
103885,Fantasy
103885,Civilization
103885,Fantasy
103885,Economic
103885,Territory Building
146652,Economic
146652,Negotiation
146652,Political
146652,Ancient
146652,Civilization
146652,Nautical
146652,Civilization
146652,Nautical
146652,Economic
146652,Territory Building
146652,Card Game
146652,Fantasy
34635,Abstract Strategy
34635,Medieval
34635,Ancient
34635,Civilization
34635,Nautical
34635,Abstract Strategy
34635,Medieval
34635,Economic
34635,Territory Building
218417,Card Game
218417,Fantasy
218417,Economic
218417,Negotiation
218417,Political
218417,Civilization
218417,Fantasy
218417,Ancient
218417,Economic
218417,Negotiation
218417,Political
218417,Abstract Strategy
262712,Card Game
262712,Fantasy
262712,Civilization
262712,Nautical
262712,Card Game
262712,Fantasy
262712,Abstract Strategy
262712,Economic
262712,Negotiation
262712,Political
262712,Card Game
262712,Fantasy
233398,Card Game
233398,Fantasy
233398,Abstract Strategy
233398,Medieval
233398,Abstract Strategy
233398,Medieval
233398,Abstract Strategy
233398,Medieval
233398,Exploration
233398,Civilization
233398,Fantasy
147020,Economic
147020,Negotiation
147020,Political
147020,Ancient
147020,Abstract Strategy
147020,Card Game
147020,Fantasy
4098,Ancient
4098,Exploration
4098,Civilization
4098,Fantasy
163068,Economic
163068,Negotiation
163068,Political
163068,Civilization
163068,Nautical
163068,Abstract Strategy
163068,Medieval
163068,Civilization
163068,Nautical
163068,Civilization
163068,Fantasy
104162,Economic
104162,Negotiation
104162,Political
104162,Ancient
104162,Economic
104162,Negotiation
104162,Political
104162,Civilization
104162,Nautical
104162,Card Game
104162,Fantasy
118048,Economic
118048,Negotiation
118048,Political
118048,Economic
118048,Negotiation
118048,Political
118048,Civilization
118048,Fantasy
118048,Ancient
118048,Civilization
118048,Fantasy
14996,Economic
14996,Negotiation
14996,Political
14996,Ancient
14996,Exploration
14996,Exploration
14996,Civilization
14996,Nautical
148949,Economic
148949,Negotiation
148949,Political
148949,Ancient
148949,Civilization
148949,Fantasy
148949,Exploration
148949,Ancient
148949,Exploration
233867,Card Game
233867,Fantasy
233867,Abstract Strategy
233867,Medieval
233867,Abstract Strategy
233867,Medieval
233867,Civilization
233867,Fantasy
233867,Civilization
233867,Nautical
233867,Abstract Strategy
150376,Economic
150376,Negotiation
150376,Political
150376,Economic
150376,Territory Building
150376,Abstract Strategy
150376,Medieval
150376,Abstract Strategy
150376,Civilization
150376,Nautical
43111,Ancient
43111,Abstract Strategy
43111,Medieval
43111,Economic
43111,Negotiation
43111,Political
43111,Economic
43111,Negotiation
43111,Political
43111,Economic
43111,Negotiation
43111,Political
244522,Card Game
244522,Fantasy
244522,Ancient
244522,Ancient
244522,Economic
244522,Territory Building
244522,Card Game
244522,Fantasy
244522,Card Game
244522,Fantasy
9609,Exploration
9609,Civilization
9609,Nautical
9609,Exploration
43015,Ancient
43015,Abstract Strategy
43015,Medieval
43015,Economic
43015,Negotiation
43015,Political
43015,Economic
