rank,id,name,description,bggrating,avgrating,numvoter,date
288,70919,Takenoko,Carefully cultivate a bamboo garden with the help of a gardener and a hungry panda.,7.138,7.27,36554,2021-08-10
289,235802,Too Many Bones: Undertow,Songstress Stanza & stealthy Duster board a raft & chuck gobs of dice on the Sibron.,7.138,8.77,1852,2021-08-10
290,2653,Survive: Escape from Atlantis!,"Sharks, whales, and sea monsters, oh my! Hurry and escape before Atlantis disappears!",7.136,7.31,21313,2021-08-10
291,119890,Agricola: All Creatures Big and Small,Breed animals and expand your small farm in this two player version of the original.,7.134,7.37,12526,2021-08-10
292,317985,Beyond the Sun,Collectively develop a tech tree to fuel the automation and colonization of space.,7.131,8.03,3050,2021-08-10
293,17392,Here I Stand,Europe in conflict during the Protestant Reformation of the early 16th century.,7.128,7.91,3620,2021-08-10
294,182134,Evolution: Climate,"Adapt your species in an ecosystem of scarce food, predators, and a dynamic climate!",7.127,7.61,6368,2021-08-10
295,234487,Altiplano,Bag building in the highlands of Peru.,7.125,7.53,7296,2021-08-10
296,199042,Harry Potter: Hogwarts Battle,Defend iconic locations with your friends against You-Know-Who and his cronies.,7.124,7.45,13041,2021-08-10
297,219513,Bärenpark,Build a bear park on personal boards by carefully placing polyominoes.,7.124,7.36,12935,2021-08-10
298,192458,51st State: Master Set,Lead your gang to take over the last rubble of the world!,7.120,7.66,5436,2021-08-10
299,8217,San Juan,Cards have multiple potential uses -- choose wisely to build the city.,7.112,7.25,22499,2021-08-10
300,1,Die Macher,Players represent political parties attempting to gain power in Germany.,7.111,7.62,5283,2021-08-10
301,25554,Notre Dame,Improve the area around Notre Dame Cathedral to earn prestige for your family.,7.111,7.34,12394,2021-08-10
302,257499,Arkham Horror (Third Edition),Piece the clues together to stop the horrors before your sanity shatters.,7.111,7.77,5575,2021-08-10
303,172,For Sale,"What's your bid? Bid on promising property bundles, then sell properties for checks.",7.105,7.22,24731,2021-08-10
304,184921,Bunny Kingdom,"Adorable bunnies build cities, harvest carrots, and go on missions to be ""Big Ears!""",7.103,7.46,8286,2021-08-10
305,39683,At the Gates of Loyang,Harvest crops and fulfill orders to become the most prosperous merchant.,7.102,7.38,9991,2021-08-10
306,306735,Under Falling Skies,You alone command the forces of a city holding off invading aliens.,7.102,8.01,3070,2021-08-10
307,24480,The Pillars of the Earth,"Produce, craft, and recruit to build a cathedral in this classic worker placement.",7.100,7.29,16580,2021-08-10
308,33160,Endeavor,"Spread your glory over the vast, as of yet unexplored world.",7.099,7.40,9136,2021-08-10
309,90137,Blood Bowl: Team Manager – The Card Game,Coach your “fantasy” football team and gather most fans to win.,7.099,7.38,10499,2021-08-10
310,186751,Mythic Battles: Pantheon,Gather your team from the vast Greek pantheon and fight to the death!,7.098,8.45,2667,2021-08-10
311,31594,In the Year of the Dragon,Choose and manage your workers to protect your palaces from a series of disasters.,7.096,7.34,10965,2021-08-10
312,144592,Bruxelles 1893,Manage your workers to help usher in a new era of culture and progress in Brussels.,7.095,7.65,4839,2021-08-10
313,9217,Saint Petersburg,Invest in infrastructure and manage cash wisely to attract nobility to the city.,7.093,7.29,14791,2021-08-10
314,250458,Gùgōng,"Exchange gifts, send servants, and visit the Emperor in a luscious 1570 China.",7.093,7.52,6584,2021-08-10
315,204305,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,"Help Sherlock Holmes investigate the notorious serial killer, Jack the Ripper.",7.093,7.74,4427,2021-08-10
316,36932,Claustrophobia,Fight for glory and redemption against endless waves of Hell's minions.,7.088,7.52,6721,2021-08-10
317,246192,Gizmos,Gather energy marbles to build gizmos parts and trigger chain reactions and combos.,7.087,7.44,8009,2021-08-10
318,21348,Ticket to Ride: Märklin,Build railroad routes across Germany to try to connect valuable destinations.,7.086,7.41,8769,2021-08-10
319,265736,Tiny Towns,Plan well as you build your town one building at a time. Will it fit?,7.085,7.34,11640,2021-08-10
320,40765,Clash of Cultures,Lead your civilization from a single settlement to a mighty empire.,7.084,7.61,5265,2021-08-10
321,50,Lost Cities,"Set out on expeditions, but will your findings outweigh the cost of each adventure?",7.083,7.18,38309,2021-08-10
322,70323,King of Tokyo,It's a fight to the death when giant monsters battle over Tokyo in this dice-roller.,7.083,7.18,59121,2021-08-10
323,256226,Azul: Stained Glass of Sintra,Create beautiful windows with coloured glass more efficiently than anyone else.,7.082,7.40,9493,2021-08-10
324,154809,Nippon,Build an Industrial empire out of a small Business in Japan's Meiji Period.,7.081,7.69,4327,2021-08-10
325,170771,Sword & Sorcery,Heroes are resurrected to face dark forces and ancient evil assaulting Talon Coast.,7.081,8.01,3893,2021-08-10
326,71,Civilization,Expand and develop your historical empire while trading with competing civilizations.,7.079,7.50,7159,2021-08-10
327,121,Dune,"Use unique strengths, treachery, and cunning to gain control of the Spice.",7.079,7.62,5553,2021-08-10
328,274637,"Unmatched: Battle of Legends, Volume One",Heroes and villains of legend (and their sidekicks) fight to the death.,7.077,8.01,3292,2021-08-10
329,54625,Space Hulk (Third Edition),Space Marines combat Genestealers in the cramped corridors of a derelict spaceship.,7.074,7.53,6770,2021-08-10
330,166669,San Juan (Second Edition),"As you build up San Juan, carefully choose how to use the multi-use cards you have.",7.074,7.50,6106,2021-08-10
331,243,Advanced Squad Leader,Play through historical scenarios in this exhaustive squad-level WWII game system.,7.072,7.99,3534,2021-08-10
332,198773,Codenames: Pictures,"Give your team one-word coded clues, trying to identify specific image cards.",7.072,7.25,17792,2021-08-10
333,293014,Nidavellir,Assemble and prepare a formidable crew of dwarfs to fight the mighty Fafnir!,7.071,7.76,3929,2021-08-10
334,63888,Innovation,Guide your civilization with inventions from the stone age through to the modern era.,7.069,7.26,15324,2021-08-10
335,255984,Sleeping Gods,"Voyages of the steamship ""Manticore"" and her crew on the Wandering Sea.",7.068,8.64,1835,2021-08-10
336,124708,Mice and Mystics,"After being turned into mice, a prince and his allies experience giant-sized stories.",7.067,7.30,17209,2021-08-10
337,156546,Monikers,This curated version of a classic game is guaranteed to create laughs!,7.065,7.79,3699,2021-08-10
338,197376,Charterstone,Witness your city flourish and the board change forever as you play.,7.064,7.35,12255,2021-08-10
339,234277,Nusfjord,"Use your three workers to clear trees, build a harbor, and fish in northern Norway.",7.063,7.64,4542,2021-08-10
340,195539,The Godfather: Corleone's Empire,Reach the top of the cut-throat mob world...all others sleep with the fishes.,7.062,7.55,6018,2021-08-10
341,318977,MicroMacro: Crime City,Find the small traces to solve the big cases.,7.062,7.84,3433,2021-08-10
342,231733,Obsession,"Renovate an estate, manage servants, and pursue romance in Victorian England.",7.062,8.28,2344,2021-08-10
343,223040,Fantasy Realms,Build the greatest fantasy kingdom by constructing the best hand.,7.061,7.52,5914,2021-08-10
344,15987,Arkham Horror,Work as a team to save the town of Arkham from monsters and a Great Old One.,7.060,7.25,37152,2021-08-10
345,236191,London (Second Edition),"Draft cards, avoid debt, and run your industrial engine to rebuild London.",7.060,7.60,4881,2021-08-10
346,194594,Dice Forge,Control luck itself! Choose to forge improved dice or complete quests for rewards.,7.059,7.28,15872,2021-08-10
347,63628,The Manhattan Project,Help your nation gain the best arsenal of atomic bombs.,7.059,7.35,9213,2021-08-10
348,55670,Macao,"Deliver goods, build the city and your tableau using a unique dice selection method.",7.059,7.42,7024,2021-08-10
349,260605,Camel Up (Second Edition),Place your bets and bend the odds in this crazy camel-stacking race!,7.059,7.65,4679,2021-08-10
350,245934,Carpe Diem,"Build villas and lands to produce gold, bread and goods in ancient Rome.",7.057,7.57,5186,2021-08-10
351,230253,Star Realms: Frontiers,"Expand your fleet, explore new frontiers, and impose your authority over your rivals.",7.056,8.01,2953,2021-08-10
352,155987,Abyss,"Control factions, influence the court and reign over underwater realms!",7.056,7.33,10966,2021-08-10
353,66188,Fresco,Buy and mix paints to restore the Renaissance fresco and earn the Bishop's favor.,7.056,7.28,12069,2021-08-10
354,40354,Maria,Maneuver martially and politically in this 3 player War of the Austrian Succession.,7.055,7.97,2865,2021-08-10
355,161614,Stockpile,"Bid, buy and sell stocks in this hidden-information game.",7.055,7.53,5745,2021-08-10
356,260428,Pandemic: Fall of Rome,Will you be strong enough to protect the Imperium from the Barbarians?,7.054,7.71,4206,2021-08-10
357,15985,Blood Bowl: Living Rulebook,,7.052,7.86,3380,2021-08-10
358,244711,Newton,Action selection and hand management in the age of enlightenment.,7.049,7.60,4740,2021-08-10
359,229220,Santa Maria,Build and maximize your polyomino colony in the New World.,7.049,7.53,5502,2021-08-10
360,302723,Forgotten Waters,Seek fortune and infamy in a fantastical world of piratical misadventure.,7.047,8.14,2567,2021-08-10
361,138161,Firefly: The Game,Find a crew. Find a job. Keep flying. Cross the 'verse to complete jobs and get paid.,7.046,7.39,10738,2021-08-10
362,188866,Awkward Guests,Mr. Walton will be murdered—repeatedly! Uncover the clues to figure out who did it.,7.044,7.72,4095,2021-08-10
363,100901,Flash Point: Fire Rescue,Smoke! Fire! Work as a team to save as many as you can from a blazing inferno.,7.043,7.20,21476,2021-08-10
364,151347,Millennium Blades,Play as players who are playing the greatest CCG in the universe.,7.043,7.72,4099,2021-08-10
365,128271,Ginkgopolis,Build upwards as well as outwards to control the most buildings in a future eco-city.,7.041,7.49,5538,2021-08-10
366,215341,Thunderstone Quest,"Recruit powerful heroes, arm your party and dungeon delve for Thunderstone Shards!",7.040,7.88,3334,2021-08-10
367,79828,A Few Acres of Snow,Card-driven game about the 18th century French-Indian War.,7.040,7.39,7520,2021-08-10
368,297030,Tekhenu: Obelisk of the Sun,"As the Obelisk's shadow moves, use dice to build Ipet-Isut and the temple of Amun-Ra.",7.036,7.93,2986,2021-08-10
369,269210,Twice as Clever!,"Roll colorful dice, choosing just one each roll to combo bonuses and points!",7.036,7.51,5525,2021-08-10
370,96913,Lancaster,Position your knights to gain influence and power to strengthen and grow your kingdom,7.035,7.41,6789,2021-08-10
371,244271,Dice Throne: Season Two – Battle Chest,A Player Vs Player dice dueling game.,7.035,8.18,2550,2021-08-10
372,215311,Downforce,"Auction, bet, race! You can lose the race and still win the game.",7.035,7.34,8748,2021-08-10
373,47,Chinatown,Negotiate and build the most successful business in all of Chinatown!,7.032,7.34,8760,2021-08-10
374,66362,Glen More,Clan chiefs compete for glory and profit in the Scottish Highlands.,7.031,7.32,8793,2021-08-10
375,295486,My City,Develop your city through the ages in this family-friendly legacy experience.,7.031,7.85,3147,2021-08-10
376,176396,Quadropolis,Send out your architects. Plan carefully as you build a bustling metropolis.,7.031,7.28,11392,2021-08-10
377,128671,Spartacus: A Game of Blood and Treachery,"Barter, buy, bid, deceive, and fight your way to become the dominant dominus in Rome.",7.030,7.47,7364,2021-08-10
378,27162,Kingsburg,"Grow your realm, influence members of the King's court and fight the forces of winter",7.030,7.19,18520,2021-08-10
379,11170,Heroscape Master Set: Rise of the Valkyrie,Distant worlds collide through time and space to battle on 3D landscapes of Valhalla.,7.029,7.44,7855,2021-08-10
380,111341,The Great Zimbabwe,Plot out supply lines and build monuments to impress the African god of your choice.,7.027,7.79,3267,2021-08-10
381,274960,Point Salad,Collect groupings of fruits and vegetables with loads of ways to score points!,7.024,7.31,9822,2021-08-10
382,105134,Risk Legacy,"Build your forces, dominate the world and deal with new challenges after every game.",7.022,7.41,7699,2021-08-10
383,137408,Amerigo,"Discover islands, build settlements, and uncover goods and treasure.",7.019,7.47,5606,2021-08-10
384,25417,BattleLore,"Battle through a Hundred Years War with magic, Goblins, and more.",7.019,7.37,9104,2021-08-10
385,150658,Pandemic: The Cure,Roll dice to defeat four diseases threatening the world.,7.019,7.29,9620,2021-08-10
386,34219,Biblios,"Amass the greatest library of sacred texts, using your wits and meager gold supply.",7.018,7.20,15386,2021-08-10
387,18833,Lord of the Rings: The Confrontation,Get Frodo to Mordor Stratego-style before shadow overtakes him.,7.015,7.48,5746,2021-08-10
388,192153,Pandemic: Reign of Cthulhu,"Close portals, shut down cultists, and stave off insanity before an Old One awakens.",7.015,7.41,8240,2021-08-10
389,270633,Aeon's End: The New Age,Take a crew of mages on Expeditions to face monstrosities from beyond the Breach.,7.015,8.72,1567,2021-08-10
390,92415,Skull,"Does the token hide a flower or skull? Bid, bluff and laugh with striking components.",7.011,7.21,15352,2021-08-10
391,5404,Amun-Re,"As Pharoah buy land, trade and build pyramids to your greatness in this Knizia gem!",7.010,7.31,8628,2021-08-10
392,62222,Commands & Colors: Napoleonics,Command Colourful Napoleonics.,7.009,8.00,2743,2021-08-10
393,157969,Sheriff of Nottingham,"Sell goods for profit, or risk losing it all by slipping contrabands in....",7.009,7.13,30522,2021-08-10
394,128996,1775: Rebellion,Four sides manoeuvre & battle to capture territory in America's War for Independence.,7.008,7.68,3795,2021-08-10
395,270844,Imperial Settlers: Empires of the North,Lead one of 6 asymmetric factions to build an empire and conquer new islands.,7.005,7.59,4527,2021-08-10
396,712,Blood Bowl (Third Edition),,7.004,7.54,5325,2021-08-10
397,17226,Descent: Journeys in the Dark,Heroes band together to defeat the Overlord and his minions in epic dungeon battles.,7.003,7.30,11375,2021-08-10
398,83330,Mansions of Madness,"Spectral horrors and monstrosities await! Will you defeat them, or be driven mad?",7.003,7.29,12895,2021-08-10
399,146791,Shadows of Brimstone: City of the Ancients,Co-op dungeon crawl the monster-ridden Old West mines and frozen Targa otherworld.,7.001,7.97,3489,2021-08-10
400,136063,Forbidden Desert,"Work together to escape the desert, before sand buries you or your supplies run dry!",7.000,7.13,26400,2021-08-10
401,123123,BattleCON: Devastation of Indines,Fight head-to-head with thirty characters in this card-based brawler.,6.999,7.91,2974,2021-08-10
402,150,PitchCar,Flick disks around a wooden race track that you can customize out of the box!,6.998,7.26,9821,2021-08-10
403,177639,Raptor,Elude or chomp humans as the mama raptor; neutralize her offspring as the scientists.,6.996,7.31,8249,2021-08-10
404,372,Schotten Totten,"Place your kilted clansmen, control stones, expand territory & foil the rival clan.",6.995,7.32,8088,2021-08-10
405,194607,Mystic Vale,Use the new card-crafting system to bring life and prosperity to the vale.,6.994,7.29,9428,2021-08-10
406,62227,"Labyrinth: The War on Terror, 2001 – ?",Jihad is no longer a world away. Can the West react in time to win the war on terror?,6.993,7.59,4418,2021-08-10
407,95527,Madeira,"Please the crown, feed your people, thrive; all without resorting to piracy—too often",6.992,7.61,4000,2021-08-10
408,162082,Deus,Develop your civilization and repeat your advancements in this engine-builder.,6.985,7.32,7462,2021-08-10
409,158899,Colt Express,This is a train robbery! Will you leave with the loot or a bunch of bullet holes?,6.983,7.12,25766,2021-08-10
410,98778,Hanabi,Everyone can see your cards but you. Can their clues help you find out what to play?,6.981,7.08,40166,2021-08-10
411,13,Catan,Collect and trade resources to build up the island of Catan in this modern classic.,6.980,7.14,104615,2021-08-10
412,65781,London,"Draft cards, avoid debt, and run your industrial engine to rebuild London.",6.980,7.36,6313,2021-08-10
413,251658,Sprawlopolis,Build the best metropolis by following the planning rules with this 18-card deck.,6.979,7.47,5218,2021-08-10
414,105551,Archipelago,Settlers work together and compete for resources to survive the new world.,6.978,7.34,7502,2021-08-10
415,233312,Stuffed Fables,"Live the story of a child's stuffed toys, saving her from monsters under the bed.",6.978,7.55,4962,2021-08-10
416,127398,Legends of Andor,A group of heroes carefully executes the defense of a besieged kingdom.,6.975,7.20,15637,2021-08-10
417,119506,Freedom: The Underground Railroad,Join fellow abolitionists to emancipate slaves and lead them to freedom in Canada.,6.974,7.59,3963,2021-08-10
418,478,Citadels,Play various roles as you build your city and hinder your opponents.,6.974,7.08,49232,2021-08-10
419,15062,Shadows over Camelot,Loyal knights unite to save Camelot while a traitor secretly plots their doom.,6.972,7.12,25754,2021-08-10
420,256730,Pipeline,"Run a refinery and compete against other players to purchase, refine, and sell oil.",6.972,7.73,3316,2021-08-10
421,206941,First Class: All Aboard the Orient Express!,Players draft to run the most luxurious rail line and solve murders!,6.971,7.46,5002,2021-08-10
422,97786,Small World Underground,"Mummies, Mudmen and more! Battle it out with new maps, new races, and new powers.",6.970,7.27,9956,2021-08-10
423,20437,Lords of Vegas,"Build, expand, and take over casinos to get big profits and big points.",6.969,7.34,6710,2021-08-10
424,144189,Fire in the Lake,"Play as the USA, VC, ARVN, or NVA to control Vietnam in COIN:Volume IV.",6.969,8.07,2340,2021-08-10
425,43570,Friday,Only Friday can help Robinson Crusoe survive the hazards of this deserted island.,6.968,7.14,17170,2021-08-10
426,133848,Euphoria: Build a Better Dystopia,Place worker dice strategically to build your authority and take over a dystopia.,6.967,7.25,9624,2021-08-10
427,171668,The Grizzled,"With paltry resources and limited luck, your group must survive WWI in the trenches.",6.967,7.19,12584,2021-08-10
428,221965,The Fox in the Forest,"In this trick-taking game for 2, you must win more than your rival—but not too much!",6.965,7.23,9880,2021-08-10
429,191862,Imhotep,"Gather, ship, and lay stones to build the most magnificent monuments in Egypt.",6.965,7.19,12326,2021-08-10
430,102652,Sentinels of the Multiverse,A diverse cast of superheroes work together to foil the plans of evil villains.,6.965,7.21,14974,2021-08-10
431,875,Roads & Boats,Prod your wacky animals into building a manufacturing empire.,6.965,7.73,3121,2021-08-10
432,193042,Junk Art,"Travel the world, and create a masterpiece from eccentric pieces.",6.964,7.42,5745,2021-08-10
433,300322,Hallertau,"Lead a small town: grow hops, improve workshops, and raise wealth to develop further.",6.964,8.16,2065,2021-08-10
434,240196,Betrayal Legacy,Experience the stories locals have told for generations about that spooky old house.,6.964,7.80,3461,2021-08-10
435,262543,Wavelength,Read your teammates’ minds in this pinpoint party game of infinite possibilities.,6.962,7.49,4948,2021-08-10
436,147949,One Night Ultimate Werewolf,An app-driven Werewolf that lasts but a single night. Wolves and villagers beware!,6.959,7.13,22228,2021-08-10
437,58421,Egizia,Struggle against the Nile's current to construct Egypt's iconic monuments.,6.958,7.42,5179,2021-08-10
438,304420,Bonfire,Gnomes struggle to re-ignite mystical bonfires to bring light to their dark planet.,6.958,7.92,2571,2021-08-10
439,171,Chess,Checkmate your opponent in this classic abstract.,6.956,7.14,29756,2021-08-10
440,36553,Time's Up! Title Recall!,Your teammates must guess titles of books and more while clues become more limited.,6.955,7.70,3182,2021-08-10
441,226522,Exit: The Game – Dead Man on the Orient Express,Classic murder mystery meets escape room in this full steam ahead puzzle game.,6.955,7.69,3351,2021-08-10
442,125618,Libertalia,Thwart the plans of your scurvy “comrades-in-arms”. The most cunning pirate wins.,6.954,7.16,12686,2021-08-10
443,21790,Thurn and Taxis,Seek help from postal officials to build your delivery routes across Bavaria.,6.951,7.10,18403,2021-08-10
444,90419,Airlines Europe,Expand airlines across Europe to make your investments pay off.,6.949,7.30,6909,2021-08-10
445,142379,Escape Plan,"Escape the city, but don't forget to grab your loot on the way out!",6.948,7.61,3807,2021-08-10
446,205398,Citadels,Thief? King? Warlord? Draft the best temporary roles in this kingdom building game.,6.948,7.31,8413,2021-08-10
447,9674,Ingenious,Place hexagonal tiles to score lines of colors.,6.947,7.12,15838,2021-08-10
448,144797,Argent: The Consortium,Convince a shadow Council that you'd be the best Chancellor of Argent's University.,6.945,7.68,3320,2021-08-10
449,232043,Queendomino,"Build a tile queendom independently, or mix with Kingdomino for more players and fun.",6.944,7.25,8487,2021-08-10
450,31999,TZAAR,Capture all of an opponent's type of pieces or make them unable to capture yours.,6.944,7.66,3301,2021-08-10
451,163968,Elysium,"Create mighty combinations, write epic legends, and earn the favour of the Gods.",6.944,7.22,8712,2021-08-10
452,180974,Potion Explosion,Collect and combine ingredients to mix potions and try to become Student of The Year.,6.942,7.15,14348,2021-08-10
453,192836,The Colonists,"Build up your village in this epic, generation-spanning resource-management game.",6.942,7.64,3562,2021-08-10
454,156858,Black Orchestra,Team up to conceive and enact a plot to assassinate Hitler.,6.942,7.51,4560,2021-08-10
455,42052,Vinhos,"Build a prestigious winery with sales, exports, tastings & helpful influencers.",6.941,7.49,4519,2021-08-10
456,27173,Vikings,Different-colored Vikings have different responsibilities. Which do you need most?,6.939,7.25,7991,2021-08-10
457,34119,Tales of the Arabian Nights,Experience intriguing Arabian legends while competing to find your story and destiny.,6.938,7.19,11768,2021-08-10
458,18,RoboRally,Use pre-programmed movement cards to race your robot around a hazardous factory.,6.936,7.08,22646,2021-08-10
459,218603,Photosynthesis,"Trees compete for sunlight to grow taller, as the sun moves around the board.",6.936,7.11,17792,2021-08-10
460,279537,The Search for Planet X,"Plan, scan, and theorize to find a new planet at the edge of our solar system.",6.935,8.18,1915,2021-08-10
461,133473,Sushi Go!,"Pass the sushi around, but keep the best for yourself. Save room for dessert!",6.934,7.05,36370,2021-08-10
462,11,Bohnanza,"Farm beans, harvest crops and trade your way to fortune in this card game classic.",6.933,7.04,39096,2021-08-10
463,133038,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,Level up your party in this card-and-dice fantasy campaign set in the land of Varisa.,6.932,7.20,12142,2021-08-10
464,12942,No Thanks!,"Take a card each round, or pay to say no; grab the right cards to lower your score.",6.931,7.05,21085,2021-08-10
465,156009,Port Royal,"Hire a crew and loot ships, but don't get too greedy or you sail away empty handed!",6.931,7.14,13658,2021-08-10
466,97842,Last Will,Spend all your money the fastest to inherit loads more in this rich card game.,6.931,7.19,9209,2021-08-10
467,245654,Railroad Ink: Deep Blue Edition,Build a network of rails and roads through a watery landscape.,6.930,7.26,7833,2021-08-10
468,475,Taj Mahal,Appeal to members of the Indian court in order to build your palaces and claim goods.,6.929,7.28,7155,2021-08-10
469,181530,Runebound (Third Edition),Toss an ever growing pool of tokens to learn your fate as your quest develops.,6.929,7.49,5161,2021-08-10
470,17405,1846: The Race for the Midwest,"Finance, build, and run railways in the American Midwest.",6.927,7.95,2255,2021-08-10
471,183562,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,,6.927,7.81,2879,2021-08-10
472,22827,StarCraft: The Board Game,Place secret orders to outmaneuver your opponents and gain control of key locations.,6.926,7.34,7113,2021-08-10
473,183251,Karuba,"Forge a path through the jungle, pick up gems along the way and reach the temples.",6.924,7.20,9072,2021-08-10
474,31730,Chicago Express,Build track and buy stock to get the most money in this railroad race to Chicago.,6.924,7.24,7542,2021-08-10
475,27746,Colosseum,As a Roman Impresario you must stage the greatest spectacles the Colosseum has seen!,6.924,7.22,8507,2021-08-10
476,262215,Blackout: Hong Kong,Manage ever-changing resources & a network of various specialists to save Hong Kong!,6.922,7.50,4164,2021-08-10
477,3685,Hammer of the Scots,William Wallace clashes with England to determine the fate of 13th-century Scotland.,6.922,7.55,3893,2021-08-10
478,257501,KeyForge: Call of the Archons,Your deck is unique. Race to three keys to be the first to unlock the great Vaults!,6.921,7.25,9745,2021-08-10
479,128780,Pax Porfiriana,Make a quick peso and vie for power in Mexico.,6.920,7.68,3132,2021-08-10
480,141572,Paperback,Use letter cards to build words that let you buy more powerful letters and score.,6.920,7.18,9234,2021-08-10
481,15363,Nexus Ops,Corporations battle it out to dominate each other and the alien species that await!,6.919,7.22,8537,2021-08-10
482,6249,Alhambra,Compete to build the most valuable picturesque walled city in 13th-century Granada.,6.918,7.03,29472,2021-08-10
483,91312,Discworld: Ankh-Morpork,Control the comic fantasy city peopled by iconic characters menaced by wizard magic.,6.917,7.23,9416,2021-08-10
484,151022,Baseball Highlights: 2045,"Build a championship baseball team filled with Naturals, Cyborgs, and Robots.",6.917,7.54,3804,2021-08-10
485,269144,Hadara,Employ citizens with a variety of skills to make your civilization thrive.,6.916,7.48,4287,2021-08-10
486,159508,AquaSphere,Coordinate programmer and scientist to gather data from the depths of the Ocean.,6.914,7.28,6616,2021-08-10
487,155703,Evolution,It's survival of the fittest as you compete to become the dominant species!,6.912,7.12,14070,2021-08-10
488,39351,Automobile,"Relive automotive history through research, production, and sale of classic cars.",6.912,7.33,5438,2021-08-10
489,160010,Conan,Become the Overlord or play as Conan and his companions in this action-packed game!,6.911,7.71,4060,2021-08-10
490,2346,DVONN,Avoid being disconnected from the three DVONN pieces on an ever-shrinking board.,6.911,7.45,4537,2021-08-10
491,212445,Blood Bowl (2016 Edition),Humans take on the Orcs in this tabletop reimagination of football.,6.911,8.06,2315,2021-08-10
492,202426,Sidereal Confluence,"Nine alien races wheel, deal, plan, and develop to be the best leader of the galaxy.",6.910,7.83,2604,2021-08-10
493,6472,A Game of Thrones,Make alliances—and break them!—as you strive to both unite and conquer Westeros.,6.909,7.21,10200,2021-08-10
494,232414,Oceans,Continually adapt to a changing ecosystem in this interactive engine builder.,6.908,7.65,3477,2021-08-10
495,153938,Camel Up,Which camel will win? Place your bets in this zany family friendly camel racing game.,6.907,7.05,23428,2021-08-10
496,245655,The King's Dilemma,"Leaders join in council to vote on the kingdom’s issues, but with hidden motives!",6.907,7.98,2366,2021-08-10
497,140603,Francis Drake,"Privateers wrangle to fit out in port, then set sail for adventure in the Caribbean.",6.907,7.41,4612,2021-08-10
498,205359,Star Wars: Destiny,"Duel with teams of heroes and villains from the galaxy far, far away.",6.905,7.53,4712,2021-08-10
499,196326,Love Letter Premium,Navigate the intrigue and politics of the court to earn favour with the princess.,6.903,7.46,4577,2021-08-10
500,39938,Carson City,"Buy land, build buildings & roads, protect your income and buy some points.",6.903,7.24,6804,2021-08-10
501,169255,A Game of Thrones: The Card Game (Second Edition),Command Westeros' factions and plot your path to the Iron Throne.,6.901,7.56,4320,2021-08-10
502,84419,Space Empires: 4X,Venture in the vast space with your fleet to make your empire prevail in the galaxy.,6.901,7.70,3152,2021-08-10
503,246684,Smartphone Inc.,Success is measured in money as you build your global smartphone empire.,6.900,7.75,2766,2021-08-10
504,113924,Zombicide,Work together to kill zombies! Improve skills! Then kill more zombies!,6.896,7.15,16935,2021-08-10
505,172308,Broom Service,Collect ingredients and deliver valuable potions by outguessing your opponents.,6.896,7.19,8409,2021-08-10
506,42776,Gears of War: The Board Game,"Be a COG soldier, fighting the Locust against all odds in a final desperate stand.",6.894,7.47,4745,2021-08-10
507,42215,Tobago,"Deduce the location of hidden treasure, and race your opponents to it!",6.891,7.11,10894,2021-08-10
508,9625,Struggle of Empires,"Form alliances, explore the new world, and conquer your enemies to create an empire.",6.890,7.51,3867,2021-08-10
509,4390,Carcassonne: Hunters and Gatherers,"Hunt, fish, and gather in this Stone Age version of the tile-laying classic.",6.889,7.13,11442,2021-08-10
510,28023,Jamaica,Race around Jamaica to claim its spoils.  Beware! The fastest doesn't always win!,6.886,7.06,16648,2021-08-10
511,73171,Earth Reborn,"500 years after global war, two factions vie to control this strange new world.",6.885,7.66,3263,2021-08-10
512,143519,Quantum,Puzzle your way to victory through clever positioning to dominate the galaxy.,6.885,7.27,6699,2021-08-10
513,503,Through the Desert,Pretty pastel camels belie the intensity of this tight area-control classic.,6.884,7.07,12891,2021-08-10
514,119432,Snowdonia,Brave the elements as you drive your railroad through the peak of Mount Snowdon.,6.883,7.37,4649,2021-08-10
515,264241,Mandala,Create and destroy mandalas in this beautifully tense abstract game for two.,6.883,7.68,2881,2021-08-10
516,174785,Mare Nostrum: Empires,Lead your ancient empire to the dominion of the Mediterranean Sea.,6.877,7.56,3555,2021-08-10
517,117959,Las Vegas,Win the payout from various casinos by placing the most dice on them.,6.876,7.13,9510,2021-08-10
518,131357,Coup,Bluff (and call bluffs!) to victory in this card game with no third chances.,6.875,7.00,37275,2021-08-10
519,1513,The Republic of Rome,Politicians cooperate and compete over personal and Ancient Roman glory.,6.874,7.53,3960,2021-08-10
520,294484,Unmatched: Cobble & Fog,Heroes from Victorian-era literature join a skirmish to the death.,6.873,8.34,1672,2021-08-10
521,298047,Marvel United,Cooperate as Marvel Heroes to stop the Villains' master plans!,6.873,7.70,3172,2021-08-10
522,30869,Thebes,"Become an archaeologist as you study ancient cultures, go digging, and exhibit.",6.873,7.13,9269,2021-08-10
523,150145,Skull King,Trick-taking on the high seas. Meet your bid to please the Skull King.,6.872,7.41,4568,2021-08-10
524,209778,Magic Maze,Silently cooperate to rob a labyrinthine shopping mall before time runs out.,6.872,7.04,16411,2021-08-10
