rank,id,name,description,bggrating,avgrating,numvoter,date
910,18100,China,Use houses and emissaries to gain dominance over the different regions of China!,6.581,6.98,4362,2021-08-10
911,244654,Wildlands,Lead your faction to take out rivals and collect magic crystals in this arena battler,6.581,7.31,2622,2021-08-10
912,551,Battle Cry,Take command and re-live Civil War battles in this miniatures board game.,6.581,7.15,3445,2021-08-10
913,197070,Massive Darkness,Join the adventures of the Lightbringers in a dungeon inhabited by monsters and foes.,6.580,7.22,4136,2021-08-10
914,283393,Aquatica,Recruit heroes and conquer locations in a race to expand your kingdom under the sea.,6.579,7.42,2110,2021-08-10
915,153065,Linko!,Play your cards right to empty your hand and capture valuable points in the process!,6.575,7.00,4221,2021-08-10
916,91536,Quarriors!,"Use dice to capture, summon and battle with creatures to become the Champion!",6.575,6.75,13264,2021-08-10
917,221,Ikusa,Expand your influence and lead your armies to victory in feudal Japan!,6.575,7.02,4946,2021-08-10
918,21523,Runebound: Second Edition,Adventure and gain life experience until you can beat the Dragon!,6.574,6.88,7797,2021-08-10
919,159473,Quartermaster General,"Secure supply, plan strategies, and as a team win the Second World War.",6.574,7.35,2458,2021-08-10
920,23540,1889: History of Shikoku Railways,1830 goes to Japan in this financial death match.,6.573,7.99,1215,2021-08-10
921,194880,Dream Home,Build and furnish your dream home in this family friendly game.,6.573,6.92,5819,2021-08-10
922,217861,Paper Tales,Fight for dominance across four rounds. Long enough for generations to grow and die.,6.572,7.07,3629,2021-08-10
923,306040,Merv: The Heart of the Silk Road,"Vie for power, favor and influence in the mighty ancient city of Merv.",6.572,7.77,1509,2021-08-10
924,228504,Cat Lady,"Collect food, toys, and even costumes to please your growing family of cats.",6.571,7.08,3834,2021-08-10
925,152162,Diamonds: Second Edition,Collect the most diamonds—as in actual jewels. Trick-taking has never been richer!,6.571,6.93,4990,2021-08-10
926,71671,Yggdrasil,Cooperate with other players to defeat the Norse gods intent on unleashing Ragnarok.,6.570,7.05,3805,2021-08-10
927,142326,Eight-Minute Empire: Legends,Build a legendary empire that eclipses your rivals in just 8 minutes!,6.570,6.96,4656,2021-08-10
